timestamp_s,channel,rail_name,voltage_v,current_a,power_w
17675.898308,1,VDD_IN,5.0400,1.0640,5.3626
17675.900585,2,VDD_CPU_GPU_CV,5.0320,0.2160,1.0869
17675.901849,3,VDD_SOC,5.0400,0.2880,1.4515
17675.908379,1,VDD_IN,5.0400,1.0640,5.3626
17675.909854,2,VDD_CPU_GPU_CV,5.0320,0.2160,1.0869
17675.911231,3,VDD_SOC,5.0400,0.2880,1.4515
17675.918449,1,VDD_IN,5.0400,1.0800,5.4432
17675.919849,2,VDD_CPU_GPU_CV,5.0320,0.2320,1.1674
17675.921202,3,VDD_SOC,5.0400,0.2880,1.4515
17675.928520,1,VDD_IN,5.0400,1.0960,5.5238
17675.930006,2,VDD_CPU_GPU_CV,5.0320,0.2400,1.2077
17675.931268,3,VDD_SOC,5.0400,0.2880,1.4515
17675.938584,1,VDD_IN,5.0400,1.1120,5.6045
17675.939975,2,VDD_CPU_GPU_CV,5.0320,0.2560,1.2882
17675.941246,3,VDD_SOC,5.0400,0.2960,1.4918
17675.948658,1,VDD_IN,5.0400,1.1360,5.7254
17675.950042,2,VDD_CPU_GPU_CV,5.0320,0.2720,1.3687
17675.951437,3,VDD_SOC,5.0400,0.2960,1.4918
17675.958744,1,VDD_IN,5.0400,1.1760,5.9270
17675.960262,2,VDD_CPU_GPU_CV,5.0320,0.3040,1.5297
17675.961622,3,VDD_SOC,5.0400,0.2960,1.4918
17675.968833,1,VDD_IN,5.0400,1.2320,6.2093
17675.970397,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
17675.971651,3,VDD_SOC,5.0320,0.3040,1.5297
17675.978897,1,VDD_IN,5.0400,1.2720,6.4109
17675.980275,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
17675.981730,3,VDD_SOC,5.0320,0.3040,1.5297
17675.988977,1,VDD_IN,5.0400,1.3120,6.6125
17675.990521,2,VDD_CPU_GPU_CV,5.0240,0.4080,2.0498
17675.991774,3,VDD_SOC,5.0320,0.3120,1.5700
17675.999047,1,VDD_IN,5.0320,1.3600,6.8435
17676.000478,2,VDD_CPU_GPU_CV,5.0240,0.4400,2.2106
17676.001919,3,VDD_SOC,5.0320,0.3120,1.5700
17676.009125,1,VDD_IN,5.0320,1.4000,7.0448
17676.010648,2,VDD_CPU_GPU_CV,5.0240,0.4720,2.3713
17676.011890,3,VDD_SOC,5.0320,0.3200,1.6102
17676.019197,1,VDD_IN,5.0320,1.4480,7.2863
17676.020678,2,VDD_CPU_GPU_CV,5.0240,0.5120,2.5723
17676.021971,3,VDD_SOC,5.0320,0.3200,1.6102
17676.029267,1,VDD_IN,5.0320,1.5200,7.6486
17676.030671,2,VDD_CPU_GPU_CV,5.0160,0.5680,2.8491
17676.032052,3,VDD_SOC,5.0240,0.3280,1.6479
17676.039337,1,VDD_IN,5.0320,1.5920,8.0109
17676.040736,2,VDD_CPU_GPU_CV,5.0160,0.6320,3.1701
17676.042094,3,VDD_SOC,5.0240,0.3360,1.6881
17676.049405,1,VDD_IN,5.0240,1.6720,8.4001
17676.050790,2,VDD_CPU_GPU_CV,5.0160,0.6880,3.4510
17676.052163,3,VDD_SOC,5.0240,0.3360,1.6881
17676.059477,1,VDD_IN,5.0240,1.7440,8.7619
17676.060894,2,VDD_CPU_GPU_CV,5.0080,0.7360,3.6859
17676.062231,3,VDD_SOC,5.0160,0.3440,1.7255
17676.069546,1,VDD_IN,5.0240,1.8000,9.0432
17676.070962,2,VDD_CPU_GPU_CV,5.0080,0.7920,3.9663
17676.072330,3,VDD_SOC,5.0160,0.3440,1.7255
17676.079615,1,VDD_IN,5.0160,1.8720,9.3900
17676.081015,2,VDD_CPU_GPU_CV,5.0080,0.8480,4.2468
17676.082373,3,VDD_SOC,5.0160,0.3520,1.7656
17676.089685,1,VDD_IN,5.0160,1.9360,9.7110
17676.091102,2,VDD_CPU_GPU_CV,5.0000,0.9040,4.5200
17676.092417,3,VDD_SOC,5.0160,0.3600,1.8058
17676.099766,1,VDD_IN,5.0160,2.0000,10.0320
17676.101248,2,VDD_CPU_GPU_CV,5.0000,0.9520,4.7600
17676.102526,3,VDD_SOC,5.0080,0.3600,1.8029
17676.109835,1,VDD_IN,5.0160,2.0640,10.3530
17676.111277,2,VDD_CPU_GPU_CV,5.0000,1.0000,5.0000
17676.112553,3,VDD_SOC,5.0080,0.3680,1.8429
17676.119903,1,VDD_IN,5.0080,2.1280,10.6570
17676.121323,2,VDD_CPU_GPU_CV,4.9920,1.0560,5.2716
17676.122706,3,VDD_SOC,5.0080,0.3680,1.8429
17676.129986,1,VDD_IN,5.0080,2.1840,10.9375
17676.131437,2,VDD_CPU_GPU_CV,4.9920,1.1040,5.5112
17676.132805,3,VDD_SOC,5.0080,0.3760,1.8830
17676.140026,1,VDD_IN,5.0080,2.2480,11.2580
17676.141414,2,VDD_CPU_GPU_CV,4.9920,1.1440,5.7108
17676.142769,3,VDD_SOC,5.0000,0.3760,1.8800
17676.150094,1,VDD_IN,5.0080,2.3120,11.5785
17676.151491,2,VDD_CPU_GPU_CV,4.9840,1.2000,5.9808
17676.152849,3,VDD_SOC,5.0000,0.3840,1.9200
17676.160161,1,VDD_IN,5.0080,2.3600,11.8189
17676.161635,2,VDD_CPU_GPU_CV,4.9840,1.2400,6.1802
17676.162939,3,VDD_SOC,5.0000,0.3840,1.9200
17676.170232,1,VDD_IN,5.0000,2.4160,12.0800
17676.171617,2,VDD_CPU_GPU_CV,4.9840,1.2880,6.4194
17676.172973,3,VDD_SOC,5.0000,0.3920,1.9600
17676.180301,1,VDD_IN,5.0000,2.4720,12.3600
17676.181687,2,VDD_CPU_GPU_CV,4.9760,1.3280,6.6081
17676.183039,3,VDD_SOC,5.0000,0.3920,1.9600
17676.190369,1,VDD_IN,5.0000,2.5280,12.6400
17676.191751,2,VDD_CPU_GPU_CV,4.9760,1.3760,6.8470
17676.193161,3,VDD_SOC,4.9920,0.4000,1.9968
17676.200444,1,VDD_IN,5.0000,2.5760,12.8800
17676.201921,2,VDD_CPU_GPU_CV,4.9760,1.4080,7.0062
17676.203206,3,VDD_SOC,4.9920,0.4000,1.9968
17676.210512,1,VDD_IN,5.0000,2.6240,13.1200
17676.211941,2,VDD_CPU_GPU_CV,4.9760,1.4480,7.2052
17676.213308,3,VDD_SOC,4.9920,0.4080,2.0367
17676.220597,1,VDD_IN,4.9920,2.6720,13.3386
17676.222110,2,VDD_CPU_GPU_CV,4.9680,1.4880,7.3924
17676.223427,3,VDD_SOC,4.9920,0.4080,2.0367
17676.230667,1,VDD_IN,4.9920,2.7120,13.5383
17676.232077,2,VDD_CPU_GPU_CV,4.9680,1.5200,7.5514
17676.233436,3,VDD_SOC,4.9920,0.4080,2.0367
17676.240735,1,VDD_IN,4.9920,2.7520,13.7380
17676.242124,2,VDD_CPU_GPU_CV,4.9680,1.5600,7.7501
17676.243476,3,VDD_SOC,4.9840,0.4160,2.0733
17676.250805,1,VDD_IN,4.9920,2.8000,13.9776
17676.252197,2,VDD_CPU_GPU_CV,4.9680,1.5920,7.9091
17676.253552,3,VDD_SOC,4.9840,0.4160,2.0733
17676.260891,1,VDD_IN,4.9920,2.8480,14.2172
17676.262358,2,VDD_CPU_GPU_CV,4.9600,1.6240,8.0550
17676.263640,3,VDD_SOC,4.9840,0.4160,2.0733
17676.270962,1,VDD_IN,4.9920,2.8800,14.3770
17676.272364,2,VDD_CPU_GPU_CV,4.9600,1.6640,8.2534
17676.273721,3,VDD_SOC,4.9840,0.4240,2.1132
17676.281030,1,VDD_IN,4.9840,2.9280,14.5932
17676.282420,2,VDD_CPU_GPU_CV,4.9600,1.6960,8.4122
17676.283771,3,VDD_SOC,4.9840,0.4240,2.1132
17676.291100,1,VDD_IN,4.9840,2.9680,14.7925
17676.292482,2,VDD_CPU_GPU_CV,4.9600,1.7280,8.5709
17676.293834,3,VDD_SOC,4.9840,0.4320,2.1531
17676.301169,1,VDD_IN,4.9840,3.0000,14.9520
17676.302583,2,VDD_CPU_GPU_CV,4.9600,1.7600,8.7296
17676.303943,3,VDD_SOC,4.9760,0.4320,2.1496
17676.311237,1,VDD_IN,4.9840,3.0400,15.1514
17676.312624,2,VDD_CPU_GPU_CV,4.9520,1.7840,8.8344
17676.313974,3,VDD_SOC,4.9760,0.4320,2.1496
17676.321307,1,VDD_IN,4.9840,3.0800,15.3507
17676.322689,2,VDD_CPU_GPU_CV,4.9520,1.8160,8.9928
17676.324058,3,VDD_SOC,4.9760,0.4400,2.1894
17676.331375,1,VDD_IN,4.9840,3.1120,15.5102
17676.332761,2,VDD_CPU_GPU_CV,4.9520,1.8400,9.1117
17676.334112,3,VDD_SOC,4.9760,0.4400,2.1894
17676.341444,1,VDD_IN,4.9840,3.1520,15.7096
17676.342827,2,VDD_CPU_GPU_CV,4.9520,1.8720,9.2701
17676.344180,3,VDD_SOC,4.9760,0.4400,2.1894
17676.351535,1,VDD_IN,4.9760,3.1920,15.8834
17676.353082,2,VDD_CPU_GPU_CV,4.9520,1.9040,9.4286
17676.354360,3,VDD_SOC,4.9760,0.4400,2.1894
17676.361603,1,VDD_IN,4.9760,3.2240,16.0426
17676.362992,2,VDD_CPU_GPU_CV,4.9520,1.9200,9.5078
17676.364261,3,VDD_SOC,4.9760,0.4480,2.2292
17676.371670,1,VDD_IN,4.9760,3.1760,15.8038
17676.373071,2,VDD_CPU_GPU_CV,4.9520,1.8800,9.3098
17676.374424,3,VDD_SOC,4.9760,0.4400,2.1894
17676.381739,1,VDD_IN,4.9840,3.1200,15.5501
17676.383158,2,VDD_CPU_GPU_CV,4.9520,1.8480,9.1513
17676.384491,3,VDD_SOC,4.9760,0.4400,2.1894
17676.391892,1,VDD_IN,4.9840,3.1520,15.7096
17676.394361,2,VDD_CPU_GPU_CV,4.9520,1.8800,9.3098
17676.396100,3,VDD_SOC,4.9760,0.4400,2.1894
17676.401956,1,VDD_IN,4.9760,3.1840,15.8436
17676.403557,2,VDD_CPU_GPU_CV,4.9520,1.9040,9.4286
17676.404974,3,VDD_SOC,4.9760,0.4400,2.1894
17676.412027,1,VDD_IN,4.9760,3.2240,16.0426
17676.413456,2,VDD_CPU_GPU_CV,4.9520,1.9280,9.5475
17676.414851,3,VDD_SOC,4.9680,0.4480,2.2257
17676.422109,1,VDD_IN,4.9760,3.2480,16.1620
17676.423675,2,VDD_CPU_GPU_CV,4.9440,1.9520,9.6507
17676.425133,3,VDD_SOC,4.9680,0.4480,2.2257
17676.432192,1,VDD_IN,4.9760,3.2800,16.3213
17676.433696,2,VDD_CPU_GPU_CV,4.9440,1.9840,9.8089
17676.434988,3,VDD_SOC,4.9680,0.4480,2.2257
17676.442269,1,VDD_IN,4.9760,3.3200,16.5203
17676.443704,2,VDD_CPU_GPU_CV,4.9440,2.0080,9.9276
17676.445072,3,VDD_SOC,4.9680,0.4480,2.2257
17676.452344,1,VDD_IN,4.9760,3.3280,16.5601
17676.453759,2,VDD_CPU_GPU_CV,4.9440,2.0160,9.9671
17676.455116,3,VDD_SOC,4.9680,0.4480,2.2257
17676.462411,1,VDD_IN,4.9760,3.2720,16.2815
17676.463801,2,VDD_CPU_GPU_CV,4.9440,1.9680,9.7298
17676.465159,3,VDD_SOC,4.9680,0.4480,2.2257
17676.472488,1,VDD_IN,4.9760,3.2320,16.0824
17676.473932,2,VDD_CPU_GPU_CV,4.9520,1.9440,9.6267
17676.475293,3,VDD_SOC,4.9680,0.4480,2.2257
17676.482558,1,VDD_IN,4.9760,3.2640,16.2417
17676.483957,2,VDD_CPU_GPU_CV,4.9440,1.9760,9.7693
17676.485326,3,VDD_SOC,4.9680,0.4480,2.2257
17676.492626,1,VDD_IN,4.9760,3.2960,16.4009
17676.494024,2,VDD_CPU_GPU_CV,4.9440,2.0000,9.8880
17676.495382,3,VDD_SOC,4.9680,0.4480,2.2257
17676.502697,1,VDD_IN,4.9760,3.3280,16.5601
17676.504087,2,VDD_CPU_GPU_CV,4.9440,2.0240,10.0067
17676.505551,3,VDD_SOC,4.9680,0.4480,2.2257
17676.512770,1,VDD_IN,4.9760,3.3600,16.7194
17676.514226,2,VDD_CPU_GPU_CV,4.9440,2.0480,10.1253
17676.515516,3,VDD_SOC,4.9680,0.4560,2.2654
17676.522839,1,VDD_IN,4.9760,3.3840,16.8388
17676.524239,2,VDD_CPU_GPU_CV,4.9440,2.0720,10.2440
17676.525601,3,VDD_SOC,4.9680,0.4560,2.2654
17676.532908,1,VDD_IN,4.9680,3.4160,16.9707
17676.534299,2,VDD_CPU_GPU_CV,4.9440,2.0960,10.3626
17676.535654,3,VDD_SOC,4.9680,0.4560,2.2654
