inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,17676.295432,17676.362735,0.067303,1.621212,26.8230,27.7797
1,17676.382808,17676.451317,0.068508,1.406657,27.9257,28.6735
2,17676.471412,17676.539090,0.067678,1.739765,28.7908,29.5987
3,17676.559181,17676.627191,0.068010,1.789102,29.6023,30.4108
4,17676.647313,17676.725191,0.077878,2.142438,30.3595,31.0462
5,17676.745284,17676.823403,0.078119,1.863634,30.8320,31.4036
6,17676.843492,17676.921716,0.078224,2.200124,31.1960,31.8403
7,17676.941834,17677.020437,0.078603,2.230488,31.5957,32.1407
8,17677.040535,17677.120543,0.080008,2.248039,31.8517,32.3789
9,17677.140667,17677.218551,0.077884,2.258510,32.0283,32.5775
10,17677.238647,17677.315900,0.077253,1.945823,32.1905,32.6516
11,17677.336087,17677.414256,0.078169,2.281955,32.3545,32.9292
12,17677.434360,17677.511954,0.077594,2.289853,32.4786,33.0086
13,17677.532020,17677.610430,0.078410,1.964386,32.5073,32.9294
14,17677.630529,17677.710070,0.079541,2.294263,32.4838,32.9690
15,17677.730172,17677.807674,0.077502,2.293837,32.5285,33.0485
16,17677.827786,17677.904722,0.076936,2.304302,32.6565,33.1673
17,17677.924824,17678.002790,0.077966,1.974282,32.6597,33.0881
18,17678.022893,17678.100740,0.077847,2.304411,32.6758,33.1673
19,17678.120872,17678.199942,0.079070,2.313880,32.7848,33.2864
20,17678.220063,17678.297716,0.077653,2.312948,32.7996,33.2864
21,17678.317798,17678.395020,0.077222,1.981067,32.7876,33.2467
22,17678.415128,17678.493017,0.077889,2.312424,32.7883,33.3258
23,17678.513112,17678.590540,0.077428,2.314466,32.8121,33.2952
24,17678.610610,17678.689477,0.078867,2.318191,32.8433,33.2164
25,17678.709609,17678.787554,0.077945,1.984485,32.8118,33.2467
26,17678.807650,17678.885139,0.077488,2.313385,32.8026,33.2952
27,17678.905236,17678.981790,0.076554,2.318200,32.8547,33.2952
28,17679.001905,17679.080284,0.078379,1.987731,32.9016,33.2952
29,17679.100598,17679.180057,0.079459,2.311249,32.7739,33.2161
