timestamp_s,channel,rail_name,voltage_v,current_a,power_w
17607.790604,1,VDD_IN,5.0480,0.9600,4.8461
17607.792727,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
17607.794033,3,VDD_SOC,5.0480,0.2720,1.3731
17607.800670,1,VDD_IN,5.0480,0.9600,4.8461
17607.802201,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
17607.803770,3,VDD_SOC,5.0480,0.2720,1.3731
17607.810774,1,VDD_IN,5.0480,0.9680,4.8865
17607.812293,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
17607.813709,3,VDD_SOC,5.0480,0.2800,1.4134
17607.820813,1,VDD_IN,5.0480,0.9840,4.9672
17607.822269,2,VDD_CPU_GPU_CV,5.0400,0.1600,0.8064
17607.823551,3,VDD_SOC,5.0480,0.2800,1.4134
17607.830890,1,VDD_IN,5.0480,1.0000,5.0480
17607.832505,2,VDD_CPU_GPU_CV,5.0400,0.1680,0.8467
17607.834136,3,VDD_SOC,5.0480,0.2800,1.4134
17607.840959,1,VDD_IN,5.0480,1.0080,5.0884
17607.842594,2,VDD_CPU_GPU_CV,5.0400,0.1840,0.9274
17607.843869,3,VDD_SOC,5.0400,0.2800,1.4112
17607.851024,1,VDD_IN,5.0480,1.0240,5.1692
17607.852574,2,VDD_CPU_GPU_CV,5.0400,0.1920,0.9677
17607.853970,3,VDD_SOC,5.0400,0.2800,1.4112
17607.861091,1,VDD_IN,5.0480,1.0400,5.2499
17607.862681,2,VDD_CPU_GPU_CV,5.0400,0.2000,1.0080
17607.864032,3,VDD_SOC,5.0400,0.2800,1.4112
17607.871181,1,VDD_IN,5.0480,1.0560,5.3307
17607.872960,2,VDD_CPU_GPU_CV,5.0400,0.2080,1.0483
17607.874381,3,VDD_SOC,5.0400,0.2880,1.4515
17607.881267,1,VDD_IN,5.0480,1.0720,5.4115
17607.882797,2,VDD_CPU_GPU_CV,5.0400,0.2240,1.1290
17607.884421,3,VDD_SOC,5.0400,0.2880,1.4515
17607.891323,1,VDD_IN,5.0480,1.0800,5.4518
17607.892775,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
17607.894179,3,VDD_SOC,5.0400,0.2880,1.4515
17607.901385,1,VDD_IN,5.0480,1.0960,5.5326
17607.902747,2,VDD_CPU_GPU_CV,5.0400,0.2400,1.2096
17607.904078,3,VDD_SOC,5.0400,0.2880,1.4515
17607.911453,1,VDD_IN,5.0480,1.1120,5.6134
17607.912887,2,VDD_CPU_GPU_CV,5.0400,0.2560,1.2902
17607.914147,3,VDD_SOC,5.0400,0.2880,1.4515
17607.921519,1,VDD_IN,5.0480,1.1360,5.7345
17607.922932,2,VDD_CPU_GPU_CV,5.0400,0.2720,1.3709
17607.924175,3,VDD_SOC,5.0400,0.2880,1.4515
17607.931639,1,VDD_IN,5.0480,1.1600,5.8557
17607.933498,2,VDD_CPU_GPU_CV,5.0400,0.2880,1.4515
17607.934781,3,VDD_SOC,5.0400,0.2960,1.4918
17607.941696,1,VDD_IN,5.0480,1.1840,5.9768
17607.943330,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
17607.944881,3,VDD_SOC,5.0400,0.2960,1.4918
17607.951781,1,VDD_IN,5.0400,1.2080,6.0883
17607.953467,2,VDD_CPU_GPU_CV,5.0320,0.3280,1.6505
17607.954949,3,VDD_SOC,5.0400,0.2960,1.4918
17607.961850,1,VDD_IN,5.0400,1.2240,6.1690
17607.963346,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
17607.964976,3,VDD_SOC,5.0400,0.2960,1.4918
17607.971942,1,VDD_IN,5.0400,1.2480,6.2899
17607.973705,2,VDD_CPU_GPU_CV,5.0320,0.3600,1.8115
17607.975110,3,VDD_SOC,5.0400,0.3040,1.5322
17607.982026,1,VDD_IN,5.0400,1.2560,6.3302
17607.983727,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
17607.985145,3,VDD_SOC,5.0400,0.3040,1.5322
17607.992109,1,VDD_IN,5.0400,1.2640,6.3706
17607.993887,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
17607.995275,3,VDD_SOC,5.0400,0.3040,1.5322
17608.002191,1,VDD_IN,5.0400,1.2720,6.4109
17608.003883,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
17608.005183,3,VDD_SOC,5.0400,0.3040,1.5322
17608.012302,1,VDD_IN,5.0400,1.2800,6.4512
17608.014042,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
17608.015569,3,VDD_SOC,5.0400,0.3040,1.5322
17608.022369,1,VDD_IN,5.0400,1.2800,6.4512
17608.023834,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
17608.025144,3,VDD_SOC,5.0400,0.3040,1.5322
17608.032439,1,VDD_IN,5.0400,1.2880,6.4915
17608.033883,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
17608.035162,3,VDD_SOC,5.0400,0.3040,1.5322
