inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,17608.244261,17608.345696,0.101436,0.974143,10.7370,10.8022
1,17608.365799,17608.467543,0.101743,0.972963,10.7287,10.7997
2,17608.487617,17608.567264,0.079647,0.767059,10.8802,11.0414
3,17608.587339,17608.667269,0.079930,0.780221,11.0666,11.2026
4,17608.687439,17608.767196,0.079757,0.675373,11.1738,11.2831
5,17608.787292,17608.867177,0.079885,0.795259,11.2726,11.4001
6,17608.887292,17608.967037,0.079745,0.801906,11.3703,11.4806
7,17608.987159,17609.067806,0.080646,0.810041,11.4756,11.6014
8,17609.087905,17609.168485,0.080580,0.812936,11.5309,11.6416
9,17609.188583,17609.269116,0.080533,0.813356,11.5360,11.6416
10,17609.289213,17609.370043,0.080829,0.814658,11.5561,11.6819
11,17609.390137,17609.470763,0.080626,0.815291,11.5611,11.6416
12,17609.490852,17609.571557,0.080705,0.815381,11.5712,11.7222
13,17609.591647,17609.672307,0.080660,0.815168,11.5712,11.7222
14,17609.692395,17609.773084,0.080689,0.816176,11.5812,11.7222
15,17609.793181,17609.874129,0.080949,0.818221,11.6014,11.7624
16,17609.894223,17609.974894,0.080670,0.818811,11.6114,11.7222
17,17609.995008,17610.075839,0.080831,0.822995,11.6466,11.8027
18,17610.095933,17610.176443,0.080511,0.822966,11.6718,11.8027
19,17610.196532,17610.280275,0.083744,0.941400,11.6819,11.8027
20,17610.300362,17610.381311,0.080949,0.823846,11.6768,11.8027
21,17610.401400,17610.482173,0.080772,0.821213,11.6517,11.8027
22,17610.502280,17610.582730,0.080449,0.820467,11.6416,11.7624
23,17610.602818,17610.683527,0.080709,0.820010,11.6265,11.7624
24,17610.703641,17610.784545,0.080904,0.821143,11.6517,11.8027
25,17610.804645,17610.885576,0.080931,0.823498,11.6718,11.8027
26,17610.905690,17610.986373,0.080683,0.822436,11.6668,11.8027
27,17611.006502,17611.088158,0.081657,0.826494,11.7070,11.8027
28,17611.108253,17611.188621,0.080368,0.824894,11.6970,11.8027
29,17611.208744,17611.288944,0.080200,0.826738,11.7171,11.8430
