timestamp_s,channel,rail_name,voltage_v,current_a,power_w
17631.585836,1,VDD_IN,5.0480,0.9680,4.8865
17631.588165,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
17631.589443,3,VDD_SOC,5.0480,0.2800,1.4134
17631.595918,1,VDD_IN,5.0480,0.9680,4.8865
17631.597368,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
17631.598933,3,VDD_SOC,5.0480,0.2800,1.4134
17631.605978,1,VDD_IN,5.0480,0.9840,4.9672
17631.607428,2,VDD_CPU_GPU_CV,5.0400,0.1680,0.8467
17631.608684,3,VDD_SOC,5.0480,0.2800,1.4134
17631.616020,1,VDD_IN,5.0480,1.0080,5.0884
17631.617599,2,VDD_CPU_GPU_CV,5.0400,0.1840,0.9274
17631.618871,3,VDD_SOC,5.0400,0.2800,1.4112
17631.626105,1,VDD_IN,5.0480,1.0320,5.2095
17631.627657,2,VDD_CPU_GPU_CV,5.0400,0.2000,1.0080
17631.628919,3,VDD_SOC,5.0400,0.2800,1.4112
17631.636162,1,VDD_IN,5.0480,1.0480,5.2903
17631.637520,2,VDD_CPU_GPU_CV,5.0400,0.2160,1.0886
17631.638835,3,VDD_SOC,5.0400,0.2800,1.4112
17631.646226,1,VDD_IN,5.0480,1.0720,5.4115
17631.647632,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
17631.648954,3,VDD_SOC,5.0400,0.2800,1.4112
17631.656310,1,VDD_IN,5.0480,1.1120,5.6134
17631.657801,2,VDD_CPU_GPU_CV,5.0400,0.2720,1.3709
17631.659196,3,VDD_SOC,5.0400,0.2880,1.4515
17631.666391,1,VDD_IN,5.0480,1.1520,5.8153
17631.667842,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
17631.669141,3,VDD_SOC,5.0400,0.2880,1.4515
17631.676459,1,VDD_IN,5.0400,1.1920,6.0077
17631.677872,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
17631.679227,3,VDD_SOC,5.0400,0.2880,1.4515
17631.686530,1,VDD_IN,5.0400,1.2400,6.2496
17631.687975,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
17631.689264,3,VDD_SOC,5.0400,0.2880,1.4515
17631.696600,1,VDD_IN,5.0400,1.2720,6.4109
17631.698032,2,VDD_CPU_GPU_CV,5.0320,0.4080,2.0531
17631.699392,3,VDD_SOC,5.0320,0.2960,1.4895
17631.706672,1,VDD_IN,5.0400,1.3120,6.6125
17631.708083,2,VDD_CPU_GPU_CV,5.0320,0.4400,2.2141
17631.709439,3,VDD_SOC,5.0320,0.2960,1.4895
17631.716743,1,VDD_IN,5.0400,1.3680,6.8947
17631.718143,2,VDD_CPU_GPU_CV,5.0240,0.4880,2.4517
17631.719497,3,VDD_SOC,5.0320,0.2960,1.4895
17631.726813,1,VDD_IN,5.0400,1.4320,7.2173
17631.728237,2,VDD_CPU_GPU_CV,5.0240,0.5520,2.7732
17631.729602,3,VDD_SOC,5.0320,0.2960,1.4895
17631.736882,1,VDD_IN,5.0320,1.5040,7.5681
17631.738303,2,VDD_CPU_GPU_CV,5.0240,0.6080,3.0546
17631.739760,3,VDD_SOC,5.0320,0.3040,1.5297
17631.746951,1,VDD_IN,5.0320,1.5680,7.8902
17631.748382,2,VDD_CPU_GPU_CV,5.0160,0.6720,3.3708
17631.749746,3,VDD_SOC,5.0240,0.3040,1.5273
17631.757019,1,VDD_IN,5.0320,1.6320,8.2122
17631.758495,2,VDD_CPU_GPU_CV,5.0160,0.7280,3.6516
17631.759768,3,VDD_SOC,5.0240,0.3040,1.5273
17631.767089,1,VDD_IN,5.0320,1.6960,8.5343
17631.768523,2,VDD_CPU_GPU_CV,5.0160,0.7840,3.9325
17631.769893,3,VDD_SOC,5.0240,0.3120,1.5675
17631.777158,1,VDD_IN,5.0240,1.7520,8.8020
17631.778585,2,VDD_CPU_GPU_CV,5.0080,0.8400,4.2067
17631.779945,3,VDD_SOC,5.0240,0.3120,1.5675
17631.787228,1,VDD_IN,5.0240,1.8160,9.1236
17631.788657,2,VDD_CPU_GPU_CV,5.0080,0.8880,4.4471
17631.789929,3,VDD_SOC,5.0160,0.3120,1.5650
17631.797297,1,VDD_IN,5.0240,1.8720,9.4049
17631.798684,2,VDD_CPU_GPU_CV,5.0080,0.9440,4.7276
17631.800059,3,VDD_SOC,5.0160,0.3120,1.5650
17631.807366,1,VDD_IN,5.0240,1.9360,9.7265
17631.808750,2,VDD_CPU_GPU_CV,5.0000,1.0000,5.0000
17631.810123,3,VDD_SOC,5.0160,0.3200,1.6051
17631.817437,1,VDD_IN,5.0160,1.9920,9.9919
17631.818830,2,VDD_CPU_GPU_CV,5.0000,1.0480,5.2400
17631.820179,3,VDD_SOC,5.0160,0.3200,1.6051
17631.827508,1,VDD_IN,5.0160,2.0480,10.2728
17631.828944,2,VDD_CPU_GPU_CV,5.0000,1.1040,5.5200
17631.830217,3,VDD_SOC,5.0080,0.3200,1.6026
17631.837578,1,VDD_IN,5.0160,2.1040,10.5537
17631.838970,2,VDD_CPU_GPU_CV,4.9920,1.1520,5.7508
17631.840244,3,VDD_SOC,5.0080,0.3200,1.6026
17631.847649,1,VDD_IN,5.0160,2.1600,10.8346
17631.849056,2,VDD_CPU_GPU_CV,4.9920,1.2000,5.9904
17631.850422,3,VDD_SOC,5.0080,0.3280,1.6426
17631.857721,1,VDD_IN,5.0160,2.2080,11.0753
17631.859104,2,VDD_CPU_GPU_CV,4.9920,1.2480,6.2300
17631.860469,3,VDD_SOC,5.0080,0.3280,1.6426
17631.867803,1,VDD_IN,5.0080,2.2640,11.3381
17631.869340,2,VDD_CPU_GPU_CV,4.9920,1.2960,6.4696
17631.870652,3,VDD_SOC,5.0080,0.3280,1.6426
17631.877872,1,VDD_IN,5.0080,2.3120,11.5785
17631.879274,2,VDD_CPU_GPU_CV,4.9840,1.3360,6.6586
17631.880637,3,VDD_SOC,5.0000,0.3280,1.6400
17631.887944,1,VDD_IN,5.0080,2.3600,11.8189
17631.889415,2,VDD_CPU_GPU_CV,4.9840,1.3840,6.8979
17631.890695,3,VDD_SOC,5.0000,0.3360,1.6800
17631.898015,1,VDD_IN,5.0080,2.4080,12.0593
17631.899403,2,VDD_CPU_GPU_CV,4.9840,1.4240,7.0972
17631.900847,3,VDD_SOC,5.0000,0.3360,1.6800
17631.908103,1,VDD_IN,5.0080,2.4560,12.2996
17631.909639,2,VDD_CPU_GPU_CV,4.9840,1.4640,7.2966
17631.910952,3,VDD_SOC,5.0000,0.3360,1.6800
17631.918173,1,VDD_IN,5.0000,2.4960,12.4800
17631.919574,2,VDD_CPU_GPU_CV,4.9760,1.5040,7.4839
17631.920941,3,VDD_SOC,5.0000,0.3360,1.6800
17631.928244,1,VDD_IN,5.0000,2.5360,12.6800
17631.929643,2,VDD_CPU_GPU_CV,4.9760,1.5360,7.6431
17631.931001,3,VDD_SOC,5.0000,0.3360,1.6800
17631.938315,1,VDD_IN,5.0000,2.5760,12.8800
17631.939713,2,VDD_CPU_GPU_CV,4.9760,1.5760,7.8422
17631.941071,3,VDD_SOC,4.9920,0.3440,1.7172
17631.948385,1,VDD_IN,5.0000,2.6160,13.0800
17631.949769,2,VDD_CPU_GPU_CV,4.9760,1.6080,8.0014
17631.951120,3,VDD_SOC,4.9920,0.3440,1.7172
17631.958455,1,VDD_IN,5.0000,2.6560,13.2800
17631.959897,2,VDD_CPU_GPU_CV,4.9760,1.6480,8.2004
17631.961171,3,VDD_SOC,4.9920,0.3440,1.7172
17631.968523,1,VDD_IN,5.0000,2.6960,13.4800
17631.969957,2,VDD_CPU_GPU_CV,4.9680,1.6800,8.3462
17631.971317,3,VDD_SOC,4.9920,0.3440,1.7172
17631.978594,1,VDD_IN,4.9920,2.7360,13.6581
17631.979991,2,VDD_CPU_GPU_CV,4.9680,1.7120,8.5052
17631.981365,3,VDD_SOC,4.9920,0.3440,1.7172
17631.988666,1,VDD_IN,4.9920,2.7680,13.8179
17631.990172,2,VDD_CPU_GPU_CV,4.9680,1.7440,8.6642
17631.991446,3,VDD_SOC,4.9920,0.3520,1.7572
17631.998736,1,VDD_IN,4.9920,2.8080,14.0175
17632.000128,2,VDD_CPU_GPU_CV,4.9680,1.7760,8.8232
17632.001486,3,VDD_SOC,4.9840,0.3520,1.7544
17632.008807,1,VDD_IN,4.9920,2.8400,14.1773
17632.010237,2,VDD_CPU_GPU_CV,4.9680,1.8080,8.9821
17632.011617,3,VDD_SOC,4.9840,0.3520,1.7544
17632.018878,1,VDD_IN,4.9920,2.8720,14.3370
17632.020275,2,VDD_CPU_GPU_CV,4.9600,1.8400,9.1264
17632.021634,3,VDD_SOC,4.9840,0.3520,1.7544
17632.028948,1,VDD_IN,4.9920,2.9120,14.5367
17632.030371,2,VDD_CPU_GPU_CV,4.9600,1.8720,9.2851
17632.031744,3,VDD_SOC,4.9840,0.3520,1.7544
17632.039017,1,VDD_IN,4.9920,2.9440,14.6964
17632.040409,2,VDD_CPU_GPU_CV,4.9600,1.8960,9.4042
17632.041769,3,VDD_SOC,4.9840,0.3520,1.7544
17632.049088,1,VDD_IN,4.9920,2.9360,14.6565
17632.050472,2,VDD_CPU_GPU_CV,4.9600,1.8880,9.3645
17632.051829,3,VDD_SOC,4.9840,0.3520,1.7544
17632.059156,1,VDD_IN,4.9920,2.8960,14.4568
17632.060533,2,VDD_CPU_GPU_CV,4.9600,1.8480,9.1661
17632.061901,3,VDD_SOC,4.9840,0.3520,1.7544
17632.069225,1,VDD_IN,4.9920,2.8800,14.3770
17632.070617,2,VDD_CPU_GPU_CV,4.9600,1.8480,9.1661
17632.071970,3,VDD_SOC,4.9840,0.3520,1.7544
17632.079295,1,VDD_IN,4.9920,2.9120,14.5367
17632.080683,2,VDD_CPU_GPU_CV,4.9600,1.8720,9.2851
17632.082036,3,VDD_SOC,4.9840,0.3520,1.7544
17632.089391,1,VDD_IN,4.9920,2.9440,14.6964
17632.090814,2,VDD_CPU_GPU_CV,4.9600,1.9040,9.4438
17632.092054,3,VDD_SOC,4.9840,0.3520,1.7544
17632.099462,1,VDD_IN,4.9920,2.9760,14.8562
17632.100846,2,VDD_CPU_GPU_CV,4.9600,1.9360,9.6026
17632.102201,3,VDD_SOC,4.9840,0.3600,1.7942
17632.109531,1,VDD_IN,4.9840,3.0080,14.9919
17632.110916,2,VDD_CPU_GPU_CV,4.9600,1.9600,9.7216
17632.112192,3,VDD_SOC,4.9840,0.3600,1.7942
17632.119600,1,VDD_IN,4.9840,3.0400,15.1514
17632.120996,2,VDD_CPU_GPU_CV,4.9520,1.9840,9.8248
17632.122350,3,VDD_SOC,4.9840,0.3600,1.7942
17632.129672,1,VDD_IN,4.9840,3.0640,15.2710
17632.131118,2,VDD_CPU_GPU_CV,4.9520,2.0160,9.9832
