inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,17631.979786,17632.045475,0.065690,1.262304,25.0662,25.8550
1,17632.065566,17632.131582,0.066015,1.583430,26.1921,27.0456
2,17632.151651,17632.217835,0.066184,1.367802,27.1552,27.8407
3,17632.237950,17632.304868,0.066919,1.686667,27.8970,28.5926
4,17632.324979,17632.391610,0.066631,1.433176,28.4483,28.9894
5,17632.411710,17632.477776,0.066066,1.747979,28.9214,29.5818
6,17632.497873,17632.564000,0.066127,1.779142,29.4239,30.0184
7,17632.584081,17632.650213,0.066132,1.498709,29.7608,30.2380
8,17632.670316,17632.736311,0.065995,1.814932,30.0416,30.6344
9,17632.756396,17632.822964,0.066568,1.522016,30.2337,30.7137
10,17632.843066,17632.909942,0.066877,1.834166,30.3467,30.8843
11,17632.930033,17632.996388,0.066356,1.845303,30.5328,31.0033
12,17633.016486,17633.082806,0.066320,1.542405,30.6348,31.0825
13,17633.102895,17633.169269,0.066375,1.855177,30.6987,31.2410
14,17633.189391,17633.255731,0.066340,1.551656,30.7658,31.2012
15,17633.275820,17633.342199,0.066379,1.863998,30.8450,31.3597
16,17633.362303,17633.428827,0.066524,1.555561,30.8736,31.3202
17,17633.448918,17633.515340,0.066423,1.866510,30.8790,31.3994
18,17633.535431,17633.601841,0.066410,1.871530,30.9731,31.4787
19,17633.621930,17633.688272,0.066342,1.561227,31.0077,31.4389
20,17633.708362,17633.774834,0.066472,1.873214,30.9939,31.5181
21,17633.794928,17633.861319,0.066391,1.560788,31.0010,31.4389
22,17633.881413,17633.947770,0.066357,1.871485,30.9765,31.5151
23,17633.967855,17634.034241,0.066386,1.876542,31.0524,31.5184
24,17634.054326,17634.120613,0.066286,1.563757,31.0555,31.4756
25,17634.140704,17634.207054,0.066350,1.876540,31.0575,31.5549
26,17634.227142,17634.293639,0.066497,1.568264,31.0950,31.5151
27,17634.313732,17634.380184,0.066452,1.878906,31.0932,31.5944
28,17634.400266,17634.466585,0.066319,1.565575,31.0950,31.5151
29,17634.486681,17634.553067,0.066386,1.875744,31.0423,31.5549
