timestamp_s,channel,rail_name,voltage_v,current_a,power_w
17849.555834,1,VDD_IN,5.0400,1.0560,5.3222
17849.557997,2,VDD_CPU_GPU_CV,5.0320,0.2000,1.0064
17849.559467,3,VDD_SOC,5.0320,0.2960,1.4895
17849.576287,1,VDD_IN,5.0400,1.0720,5.4029
17849.578604,2,VDD_CPU_GPU_CV,5.0320,0.2080,1.0467
17849.580618,3,VDD_SOC,5.0320,0.3040,1.5297
17849.596353,1,VDD_IN,5.0400,1.1040,5.5642
17849.597953,2,VDD_CPU_GPU_CV,5.0320,0.2320,1.1674
17849.599386,3,VDD_SOC,5.0320,0.3040,1.5297
17849.616423,1,VDD_IN,5.0320,1.1360,5.7164
17849.617960,2,VDD_CPU_GPU_CV,5.0240,0.2560,1.2861
17849.619377,3,VDD_SOC,5.0320,0.3040,1.5297
17849.636492,1,VDD_IN,5.0320,1.1920,5.9981
17849.638033,2,VDD_CPU_GPU_CV,5.0240,0.2960,1.4871
17849.639443,3,VDD_SOC,5.0320,0.3120,1.5700
17849.656561,1,VDD_IN,5.0320,1.2800,6.4410
17849.658094,2,VDD_CPU_GPU_CV,5.0240,0.3600,1.8086
17849.659507,3,VDD_SOC,5.0240,0.3200,1.6077
17849.676681,1,VDD_IN,5.0320,1.3680,6.8838
17849.678613,2,VDD_CPU_GPU_CV,5.0160,0.4240,2.1268
17849.680586,3,VDD_SOC,5.0240,0.3280,1.6479
17849.696787,1,VDD_IN,5.0240,1.4560,7.3149
17849.698458,2,VDD_CPU_GPU_CV,5.0160,0.4880,2.4478
17849.699759,3,VDD_SOC,5.0240,0.3360,1.6881
17849.716863,1,VDD_IN,5.0240,1.5920,7.9982
17849.718774,2,VDD_CPU_GPU_CV,5.0080,0.6000,3.0048
17849.720064,3,VDD_SOC,5.0160,0.3440,1.7255
17849.736972,1,VDD_IN,5.0160,1.7200,8.6275
17849.738651,2,VDD_CPU_GPU_CV,5.0080,0.7120,3.5657
17849.739950,3,VDD_SOC,5.0160,0.3520,1.7656
17849.757057,1,VDD_IN,5.0160,1.8640,9.3498
17849.758658,2,VDD_CPU_GPU_CV,5.0000,0.8240,4.1200
17849.759973,3,VDD_SOC,5.0080,0.3600,1.8029
17849.777137,1,VDD_IN,5.0080,1.9840,9.9359
17849.778592,2,VDD_CPU_GPU_CV,4.9920,0.9280,4.6326
17849.779965,3,VDD_SOC,5.0080,0.3680,1.8429
17849.797206,1,VDD_IN,5.0080,2.1200,10.6170
17849.798613,2,VDD_CPU_GPU_CV,4.9920,1.0320,5.1517
17849.799974,3,VDD_SOC,5.0000,0.3760,1.8800
17849.817283,1,VDD_IN,5.0000,2.2320,11.1600
17849.818725,2,VDD_CPU_GPU_CV,4.9840,1.1280,5.6220
17849.820103,3,VDD_SOC,5.0000,0.3840,1.9200
17849.837367,1,VDD_IN,5.0000,2.3520,11.7600
17849.838951,2,VDD_CPU_GPU_CV,4.9760,1.2240,6.0906
17849.840252,3,VDD_SOC,4.9920,0.3920,1.9569
17849.857455,1,VDD_IN,4.9920,2.4560,12.2604
17849.858942,2,VDD_CPU_GPU_CV,4.9760,1.3120,6.5285
17849.860226,3,VDD_SOC,4.9920,0.4000,1.9968
17849.877543,1,VDD_IN,4.9920,2.5600,12.7795
17849.878987,2,VDD_CPU_GPU_CV,4.9680,1.3920,6.9155
17849.880269,3,VDD_SOC,4.9840,0.4080,2.0335
17849.897629,1,VDD_IN,4.9920,2.6640,13.2987
17849.899111,2,VDD_CPU_GPU_CV,4.9680,1.4720,7.3129
17849.900418,3,VDD_SOC,4.9840,0.4080,2.0335
17849.917713,1,VDD_IN,4.9840,2.7520,13.7160
17849.919159,2,VDD_CPU_GPU_CV,4.9600,1.5360,7.6186
17849.920577,3,VDD_SOC,4.9840,0.4160,2.0733
17849.937802,1,VDD_IN,4.9840,2.8400,14.1546
17849.939317,2,VDD_CPU_GPU_CV,4.9600,1.6080,7.9757
17849.940663,3,VDD_SOC,4.9760,0.4240,2.1098
17849.957894,1,VDD_IN,4.9840,2.9280,14.5932
17849.959394,2,VDD_CPU_GPU_CV,4.9520,1.6800,8.3194
17849.960691,3,VDD_SOC,4.9760,0.4240,2.1098
17849.977963,1,VDD_IN,4.9760,3.0000,14.9280
17849.979369,2,VDD_CPU_GPU_CV,4.9520,1.7440,8.6363
17849.980748,3,VDD_SOC,4.9760,0.4320,2.1496
17849.998052,1,VDD_IN,4.9760,3.0720,15.2863
17849.999510,2,VDD_CPU_GPU_CV,4.9440,1.8080,8.9388
17850.000878,3,VDD_SOC,4.9680,0.4400,2.1859
17850.018129,1,VDD_IN,4.9760,3.1520,15.6844
17850.019633,2,VDD_CPU_GPU_CV,4.9440,1.8640,9.2156
17850.020969,3,VDD_SOC,4.9680,0.4400,2.1859
17850.038231,1,VDD_IN,4.9760,3.2240,16.0426
17850.039889,2,VDD_CPU_GPU_CV,4.9440,1.9200,9.4925
17850.041184,3,VDD_SOC,4.9680,0.4480,2.2257
17850.058301,1,VDD_IN,4.9680,3.2880,16.3348
17850.059796,2,VDD_CPU_GPU_CV,4.9360,1.9760,9.7535
17850.061185,3,VDD_SOC,4.9680,0.4480,2.2257
17850.078383,1,VDD_IN,4.9680,3.3520,16.6527
17850.079869,2,VDD_CPU_GPU_CV,4.9360,2.0240,9.9905
17850.081236,3,VDD_SOC,4.9600,0.4560,2.2618
17850.098462,1,VDD_IN,4.9680,3.4160,16.9707
17850.099959,2,VDD_CPU_GPU_CV,4.9360,2.0800,10.2669
17850.101344,3,VDD_SOC,4.9600,0.4560,2.2618
17850.118551,1,VDD_IN,4.9680,3.4640,17.2092
17850.120140,2,VDD_CPU_GPU_CV,4.9280,2.1280,10.4868
17850.121444,3,VDD_SOC,4.9600,0.4640,2.3014
17850.138619,1,VDD_IN,4.9600,3.5280,17.4989
17850.140078,2,VDD_CPU_GPU_CV,4.9280,2.1760,10.7233
17850.141356,3,VDD_SOC,4.9600,0.4640,2.3014
17850.158709,1,VDD_IN,4.9600,3.5760,17.7370
17850.160206,2,VDD_CPU_GPU_CV,4.9280,2.2160,10.9204
17850.161485,3,VDD_SOC,4.9520,0.4720,2.3373
17850.178776,1,VDD_IN,4.9600,3.6240,17.9750
17850.180222,2,VDD_CPU_GPU_CV,4.9200,2.2560,11.0995
17850.181509,3,VDD_SOC,4.9520,0.4720,2.3373
17850.198877,1,VDD_IN,4.9600,3.6720,18.2131
17850.201769,2,VDD_CPU_GPU_CV,4.9200,2.2960,11.2963
17850.203664,3,VDD_SOC,4.9520,0.4720,2.3373
17850.218979,1,VDD_IN,4.9600,3.7120,18.4115
17850.220750,2,VDD_CPU_GPU_CV,4.9200,2.3200,11.4144
17850.222056,3,VDD_SOC,4.9520,0.4800,2.3770
17850.239079,1,VDD_IN,4.9520,3.7520,18.5799
17850.240775,2,VDD_CPU_GPU_CV,4.9200,2.3520,11.5718
17850.242248,3,VDD_SOC,4.9520,0.4800,2.3770
17850.259164,1,VDD_IN,4.9520,3.7680,18.6591
17850.260670,2,VDD_CPU_GPU_CV,4.9200,2.3680,11.6506
17850.261953,3,VDD_SOC,4.9520,0.4800,2.3770
17850.279244,1,VDD_IN,4.9520,3.8160,18.8968
17850.280707,2,VDD_CPU_GPU_CV,4.9120,2.4000,11.7888
17850.282070,3,VDD_SOC,4.9440,0.4880,2.4127
17850.299330,1,VDD_IN,4.9520,3.8480,19.0553
17850.300863,2,VDD_CPU_GPU_CV,4.9120,2.4080,11.8281
17850.302137,3,VDD_SOC,4.9440,0.4960,2.4522
17850.319397,1,VDD_IN,4.9520,3.8720,19.1741
17850.321076,2,VDD_CPU_GPU_CV,4.9120,2.4240,11.9067
17850.322630,3,VDD_SOC,4.9440,0.5120,2.5313
17850.339484,1,VDD_IN,4.9520,3.8960,19.2930
17850.341240,2,VDD_CPU_GPU_CV,4.9120,2.4320,11.9460
17850.342674,3,VDD_SOC,4.9440,0.5280,2.6104
17850.359618,1,VDD_IN,4.9520,3.9200,19.4118
17850.361408,2,VDD_CPU_GPU_CV,4.9120,2.4320,11.9460
17850.362702,3,VDD_SOC,4.9440,0.5360,2.6500
17850.379719,1,VDD_IN,4.9520,3.9360,19.4911
17850.381565,2,VDD_CPU_GPU_CV,4.9120,2.4400,11.9853
17850.382988,3,VDD_SOC,4.9440,0.5520,2.7291
17850.399831,1,VDD_IN,4.9520,3.9600,19.6099
17850.401534,2,VDD_CPU_GPU_CV,4.9120,2.4480,12.0246
17850.402898,3,VDD_SOC,4.9440,0.5600,2.7686
17850.419900,1,VDD_IN,4.9520,3.9760,19.6892
17850.421491,2,VDD_CPU_GPU_CV,4.9120,2.4560,12.0639
17850.422846,3,VDD_SOC,4.9440,0.5680,2.8082
17850.440065,1,VDD_IN,4.9520,4.0000,19.8080
17850.441566,2,VDD_CPU_GPU_CV,4.9120,2.4640,12.1032
17850.442927,3,VDD_SOC,4.9440,0.5760,2.8477
17850.460174,1,VDD_IN,4.9520,4.0160,19.8872
17850.461848,2,VDD_CPU_GPU_CV,4.9120,2.4720,12.1425
17850.463221,3,VDD_SOC,4.9440,0.5920,2.9268
17850.480252,1,VDD_IN,4.9520,4.0400,20.0061
17850.481776,2,VDD_CPU_GPU_CV,4.9120,2.4720,12.1425
17850.483121,3,VDD_SOC,4.9360,0.6000,2.9616
17850.500370,1,VDD_IN,4.9520,4.0560,20.0853
17850.502013,2,VDD_CPU_GPU_CV,4.9120,2.4800,12.1818
17850.503403,3,VDD_SOC,4.9360,0.6080,3.0011
17850.520450,1,VDD_IN,4.9520,4.0640,20.1249
17850.521958,2,VDD_CPU_GPU_CV,4.9040,2.4880,12.2012
17850.523310,3,VDD_SOC,4.9360,0.6160,3.0406
17850.540521,1,VDD_IN,4.9440,4.0800,20.1715
17850.542142,2,VDD_CPU_GPU_CV,4.9040,2.4880,12.2012
17850.543486,3,VDD_SOC,4.9360,0.6240,3.0801
17850.560595,1,VDD_IN,4.9440,4.0960,20.2506
17850.562249,2,VDD_CPU_GPU_CV,4.9040,2.4960,12.2404
17850.563542,3,VDD_SOC,4.9360,0.6320,3.1196
17850.580679,1,VDD_IN,4.9440,4.1120,20.3297
17850.582257,2,VDD_CPU_GPU_CV,4.9040,2.4960,12.2404
17850.583581,3,VDD_SOC,4.9360,0.6400,3.1590
17850.600747,1,VDD_IN,4.9440,4.1200,20.3693
17850.602351,2,VDD_CPU_GPU_CV,4.9040,2.5040,12.2796
17850.603632,3,VDD_SOC,4.9360,0.6400,3.1590
17850.620833,1,VDD_IN,4.9440,4.1360,20.4484
17850.622310,2,VDD_CPU_GPU_CV,4.9040,2.5120,12.3188
17850.623667,3,VDD_SOC,4.9360,0.6480,3.1985
17850.640906,1,VDD_IN,4.9440,4.1520,20.5275
17850.642329,2,VDD_CPU_GPU_CV,4.9040,2.5120,12.3188
17850.643675,3,VDD_SOC,4.9360,0.6560,3.2380
17850.660995,1,VDD_IN,4.9440,4.1600,20.5670
17850.662589,2,VDD_CPU_GPU_CV,4.9040,2.5200,12.3581
17850.663971,3,VDD_SOC,4.9360,0.6640,3.2775
17850.681076,1,VDD_IN,4.9440,4.1760,20.6461
17850.682589,2,VDD_CPU_GPU_CV,4.9040,2.5200,12.3581
17850.683963,3,VDD_SOC,4.9360,0.6640,3.2775
17850.701156,1,VDD_IN,4.9520,4.0400,20.0061
17850.704530,2,VDD_CPU_GPU_CV,4.9120,2.4000,11.7888
17850.706047,3,VDD_SOC,4.9440,0.6560,3.2433
17850.721231,1,VDD_IN,4.9520,3.9200,19.4118
17850.722775,2,VDD_CPU_GPU_CV,4.9120,2.3280,11.4351
17850.724158,3,VDD_SOC,4.9440,0.6480,3.2037
17850.741321,1,VDD_IN,4.9520,3.9440,19.5307
17850.742871,2,VDD_CPU_GPU_CV,4.9120,2.3360,11.4744
17850.744247,3,VDD_SOC,4.9440,0.6560,3.2433
17850.761404,1,VDD_IN,4.9520,3.9680,19.6495
17850.762929,2,VDD_CPU_GPU_CV,4.9120,2.3520,11.5530
17850.764322,3,VDD_SOC,4.9440,0.6640,3.2828
17850.781484,1,VDD_IN,4.9520,3.9920,19.7684
17850.782991,2,VDD_CPU_GPU_CV,4.9120,2.3600,11.5923
17850.784389,3,VDD_SOC,4.9440,0.6720,3.3224
17850.801553,1,VDD_IN,4.9520,4.0080,19.8476
17850.802981,2,VDD_CPU_GPU_CV,4.9120,2.3680,11.6316
17850.804344,3,VDD_SOC,4.9440,0.6720,3.3224
17850.821628,1,VDD_IN,4.9520,4.0240,19.9268
