inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,17849.570544,17850.682349,1.111805,29.641353,26.7447,36.2817
1,17850.720958,17851.881680,1.160722,42.033170,36.7080,37.8344
2,17851.915388,17853.075400,1.160012,42.744846,37.3366,38.0358
3,17853.116145,17854.277700,1.161555,42.562131,37.1735,37.8742
4,17854.317125,17855.475080,1.157955,41.810793,37.1723,37.8346
5,17855.515689,17856.670530,1.154841,42.529448,37.1551,37.9133
6,17856.710904,17857.872318,1.161414,42.580357,37.1923,37.9133
7,17857.911390,17859.078258,1.166869,42.664214,37.2624,37.9964
8,17859.113120,17860.271666,1.158546,42.810819,37.3853,37.9964
9,17860.312486,17861.469758,1.157272,42.575755,37.1820,37.8390
10,17861.515147,17862.669712,1.154565,41.699711,37.0713,37.8785
11,17862.711680,17863.867839,1.156159,42.508747,37.1268,37.8785
12,17863.909461,17865.068861,1.159400,42.598122,37.2056,38.0358
13,17865.110636,17866.267401,1.156765,42.639151,37.2442,37.9133
14,17866.309488,17867.465029,1.155541,41.814297,37.1758,37.8346
15,17867.510653,17868.668364,1.157711,42.408887,37.0443,37.9133
16,17868.710459,17869.870867,1.160408,42.467262,37.0899,37.8346
17,17869.912430,17871.071157,1.158728,42.492199,37.1077,37.8785
18,17871.112467,17872.272734,1.160267,42.556035,37.1654,37.8346
19,17872.314150,17873.469266,1.155117,41.812336,37.1735,37.8785
20,17873.514485,17874.673101,1.158615,42.489629,37.1044,37.8742
21,17874.715295,17875.872061,1.156765,42.494450,37.1156,37.9180
22,17875.913848,17877.069825,1.155977,41.770188,37.1346,37.8785
23,17877.111868,17878.268922,1.157054,42.529568,37.1471,37.9137
24,17878.311239,17879.468170,1.156931,42.500413,37.1207,37.8390
25,17879.513182,17880.671304,1.158122,42.501792,37.1229,37.8390
26,17880.713137,17881.872040,1.158903,41.772102,37.1365,37.8390
27,17881.913927,17883.067625,1.153698,41.860753,37.2196,37.9572
28,17883.109395,17884.269300,1.159905,42.547155,37.1580,37.8742
29,17884.311381,17885.469095,1.157715,42.536382,37.1505,37.8785
30,17885.514638,17886.674726,1.160088,42.487639,37.1066,37.8390
31,17886.716774,17887.873875,1.157101,41.802880,37.1656,37.9180
32,17887.915591,17889.073281,1.157690,42.563671,37.1769,37.8788
33,17889.115073,17890.270979,1.155906,42.575840,37.1836,37.9924
34,17890.312645,17891.467614,1.154969,41.872580,37.2333,37.8785
35,17891.513122,17892.671118,1.157996,41.769594,37.1344,37.8346
36,17892.712800,17893.871872,1.159073,42.502933,37.1149,37.9180
37,17893.913791,17895.069271,1.155480,42.585849,37.1974,37.9964
38,17895.111405,17896.267693,1.156288,41.846547,37.2068,37.9180
39,17896.309410,17897.467210,1.157801,42.553576,37.1680,37.8785
40,17897.512274,17898.674668,1.162393,42.448334,37.0682,37.8346
41,17898.716617,17899.873570,1.156952,42.563444,37.1748,37.9177
42,17899.916254,17901.071805,1.155550,42.566326,37.1790,37.9967
43,17901.114431,17902.273111,1.158680,41.830737,37.1852,37.9177
44,17902.315384,17903.473995,1.158611,42.529120,37.1469,37.8350
45,17903.519538,17904.679635,1.160097,42.410832,37.0475,37.8390
46,17904.721772,17905.879031,1.157259,42.543730,37.1571,37.9572
47,17905.921988,17907.078196,1.156208,42.601922,37.2087,37.9177
48,17907.161246,17908.320723,1.159477,41.718475,36.4260,37.7999
49,17908.363205,17909.520902,1.157697,42.490038,37.1138,37.9180
50,17909.566554,17910.725564,1.159010,42.505524,37.1232,37.9180
51,17910.767811,17911.924507,1.156696,42.592989,37.2005,37.9572
52,17911.966280,17913.124202,1.157922,41.840424,37.2002,37.9180
53,17913.165824,17914.326690,1.160867,42.544279,37.1575,37.7999
54,17914.368977,17915.524860,1.155882,42.552012,37.1677,37.9572
55,17915.570712,17916.735742,1.165029,42.473405,37.0982,37.7996
56,17916.778250,17917.939678,1.161428,42.456089,37.0800,37.8390
57,17917.982122,17919.139455,1.157333,42.513101,37.1302,37.9180
58,17919.181956,17920.338929,1.156973,42.569511,37.1857,37.9572
59,17920.381492,17921.539409,1.157917,41.839324,37.2003,37.9572
60,17921.586560,17922.747620,1.161060,42.468504,37.0945,37.7999
61,17922.790044,17923.946400,1.156355,41.842655,37.1938,37.9967
62,17923.988724,17925.148596,1.159872,42.553996,37.1628,37.8785
63,17925.191108,17926.351460,1.160352,42.559305,37.1753,37.9180
64,17926.394038,17927.550993,1.156956,42.597610,37.1987,37.9964
65,17927.596800,17928.760304,1.163504,42.530557,37.1440,37.7999
66,17928.802317,17929.960968,1.158651,42.534379,37.1472,37.9180
67,17930.003043,17931.162523,1.159479,42.577788,37.1820,37.8390
68,17931.204534,17932.362352,1.157818,41.841472,37.1972,37.9180
69,17932.404398,17933.560681,1.156283,42.581487,37.1864,37.9572
70,17933.606315,17934.765273,1.158958,42.543000,37.1523,37.9177
71,17934.807497,17935.966675,1.159178,42.581016,37.1881,37.8788
72,17936.009204,17937.170451,1.161247,42.607006,37.2039,37.8394
73,17937.212508,17938.373753,1.161246,42.542554,37.1531,37.8390
74,17938.415911,17939.572483,1.156572,41.855308,37.2108,37.9575
