inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,5335.452848,5335.502964,0.050116,0.209443,6.9247,6.9449
1,5335.508031,5335.558112,0.050081,0.278413,6.9045,6.9045
2,5335.563186,5335.613287,0.050101,0.276755,6.8642,6.8642
3,5335.618381,5335.668460,0.050079,0.275491,6.8319,6.8642
4,5335.673553,5335.723655,0.050102,0.275156,6.8238,6.8238
5,5335.728739,5335.778827,0.050089,0.276777,6.8642,6.8642
6,5335.783903,5335.834007,0.050104,0.276272,6.8480,6.8642
7,5335.839106,5335.889208,0.050103,0.275154,6.8238,6.8238
8,5335.894298,5335.944398,0.050099,0.275182,6.8238,6.8238
9,5335.949533,5335.999608,0.050075,0.275003,6.8238,6.8238
