timestamp_s,channel,rail_name,voltage_v,current_a,power_w
5335.452778,1,VDD_IN,5.0480,0.9600,4.8461
5335.454177,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.455722,3,VDD_SOC,5.0480,0.2720,1.3731
5335.462844,1,VDD_IN,5.0480,0.9600,4.8461
5335.464178,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.465516,3,VDD_SOC,5.0480,0.2720,1.3731
5335.472927,1,VDD_IN,5.0480,0.9600,4.8461
5335.474461,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.475742,3,VDD_SOC,5.0480,0.2720,1.3731
5335.482999,1,VDD_IN,5.0480,0.9520,4.8057
5335.484425,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.485844,3,VDD_SOC,5.0480,0.2720,1.3731
5335.493089,1,VDD_IN,5.0480,0.9520,4.8057
5335.494694,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.495975,3,VDD_SOC,5.0480,0.2720,1.3731
5335.503154,1,VDD_IN,5.0480,0.9520,4.8057
5335.504619,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.506120,3,VDD_SOC,5.0480,0.2720,1.3731
5335.513225,1,VDD_IN,5.0480,0.9520,4.8057
5335.514660,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.516045,3,VDD_SOC,5.0480,0.2720,1.3731
5335.523319,1,VDD_IN,5.0480,0.9520,4.8057
5335.524917,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.526224,3,VDD_SOC,5.0480,0.2720,1.3731
5335.533386,1,VDD_IN,5.0480,0.9520,4.8057
5335.534833,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.536133,3,VDD_SOC,5.0480,0.2720,1.3731
5335.543479,1,VDD_IN,5.0480,0.9520,4.8057
5335.545086,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
5335.546368,3,VDD_SOC,5.0480,0.2720,1.3731
5335.553548,1,VDD_IN,5.0480,0.9520,4.8057
