inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,11150.119865,11150.166361,0.046496,0.361142,11.9551,12.2337
1,11150.186455,11150.251029,0.064573,0.744647,12.3027,12.4349
2,11150.271121,11150.335834,0.064713,0.626503,12.4349,12.5556
3,11150.355932,11150.420712,0.064780,0.627283,12.4550,12.5556
4,11150.440811,11150.505269,0.064459,0.757572,12.5322,12.7136
5,11150.525364,11150.590061,0.064697,0.633166,12.5613,12.7136
6,11150.610157,11150.674419,0.064262,0.761558,12.6052,12.7539
7,11150.694524,11150.758944,0.064421,0.638365,12.6667,12.7941
8,11150.779035,11150.843523,0.064487,0.638990,12.6868,12.7941
9,11150.863620,11150.928027,0.064407,0.766872,12.6906,12.8343
10,11150.948190,11151.012712,0.064522,0.639234,12.6928,12.7898
11,11151.032809,11151.097477,0.064668,0.769816,12.7251,12.8746
12,11151.117570,11151.182006,0.064436,0.641322,12.7337,12.8343
13,11151.202099,11151.266663,0.064564,0.641642,12.7330,12.8701
14,11151.286752,11151.351093,0.064341,0.773139,12.7922,12.9505
15,11151.371210,11151.435791,0.064581,0.646021,12.8328,12.9505
16,11151.455885,11151.521049,0.065164,0.777457,12.8675,12.9908
17,11151.541155,11151.605770,0.064615,0.649947,12.8805,12.9908
18,11151.625864,11151.692736,0.066872,0.778336,12.8739,12.9550
19,11151.712833,11151.777262,0.064428,0.646490,12.8403,12.9505
20,11151.797350,11151.861651,0.064301,0.644311,12.8067,12.9103
21,11151.881742,11151.946202,0.064460,0.773033,12.7915,12.9505
22,11151.966327,11152.030855,0.064527,0.643515,12.7785,12.8701
23,11152.050952,11152.115334,0.064381,0.771756,12.7698,12.8746
24,11152.135423,11152.199881,0.064457,0.642771,12.7598,12.8343
25,11152.219983,11152.284474,0.064491,0.641795,12.7469,12.8701
26,11152.304564,11152.368970,0.064406,0.772478,12.7820,12.9103
27,11152.389061,11152.453471,0.064410,0.643230,12.7732,12.8701
28,11152.473564,11152.538035,0.064472,0.772935,12.7877,12.8746
29,11152.558124,11152.622519,0.064395,0.644254,12.7859,12.8701
