timestamp_s,channel,rail_name,voltage_v,current_a,power_w
11149.766132,1,VDD_IN,5.0480,0.9760,4.9268
11149.767943,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
11149.769400,3,VDD_SOC,5.0480,0.2800,1.4134
11149.776210,1,VDD_IN,5.0480,0.9760,4.9268
11149.777630,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
11149.779021,3,VDD_SOC,5.0480,0.2800,1.4134
11149.786281,1,VDD_IN,5.0480,0.9760,4.9268
11149.787676,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
11149.789167,3,VDD_SOC,5.0480,0.2800,1.4134
11149.796353,1,VDD_IN,5.0480,0.9920,5.0076
11149.797778,2,VDD_CPU_GPU_CV,5.0400,0.1600,0.8064
11149.799133,3,VDD_SOC,5.0480,0.2800,1.4134
11149.806426,1,VDD_IN,5.0480,1.0080,5.0884
11149.807829,2,VDD_CPU_GPU_CV,5.0400,0.1680,0.8467
11149.809199,3,VDD_SOC,5.0480,0.2800,1.4134
11149.816495,1,VDD_IN,5.0480,1.0160,5.1288
11149.817904,2,VDD_CPU_GPU_CV,5.0400,0.1760,0.8870
11149.819264,3,VDD_SOC,5.0480,0.2880,1.4538
11149.826585,1,VDD_IN,5.0480,1.0320,5.2095
11149.828242,2,VDD_CPU_GPU_CV,5.0400,0.1840,0.9274
11149.829533,3,VDD_SOC,5.0400,0.2880,1.4515
11149.836659,1,VDD_IN,5.0480,1.0480,5.2903
11149.838295,2,VDD_CPU_GPU_CV,5.0400,0.1920,0.9677
11149.839647,3,VDD_SOC,5.0400,0.2880,1.4515
11149.846745,1,VDD_IN,5.0480,1.0720,5.4115
11149.848412,2,VDD_CPU_GPU_CV,5.0400,0.2080,1.0483
11149.849755,3,VDD_SOC,5.0400,0.2880,1.4515
11149.856817,1,VDD_IN,5.0480,1.1040,5.5730
11149.858409,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
11149.859907,3,VDD_SOC,5.0400,0.2960,1.4918
11149.867176,1,VDD_IN,5.0480,1.1280,5.6941
11149.869223,2,VDD_CPU_GPU_CV,5.0400,0.2480,1.2499
11149.870636,3,VDD_SOC,5.0400,0.2960,1.4918
11149.877273,1,VDD_IN,5.0480,1.1600,5.8557
11149.879002,2,VDD_CPU_GPU_CV,5.0400,0.2640,1.3306
11149.880419,3,VDD_SOC,5.0400,0.3040,1.5322
11149.887355,1,VDD_IN,5.0400,1.1840,5.9674
11149.889071,2,VDD_CPU_GPU_CV,5.0320,0.2800,1.4090
11149.890398,3,VDD_SOC,5.0400,0.3040,1.5322
11149.897435,1,VDD_IN,5.0400,1.2080,6.0883
11149.898934,2,VDD_CPU_GPU_CV,5.0320,0.2960,1.4895
11149.900246,3,VDD_SOC,5.0400,0.3120,1.5725
11149.907513,1,VDD_IN,5.0400,1.2320,6.2093
11149.908928,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
11149.910201,3,VDD_SOC,5.0400,0.3120,1.5725
11149.917584,1,VDD_IN,5.0400,1.2400,6.2496
11149.919025,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
11149.920309,3,VDD_SOC,5.0400,0.3120,1.5725
11149.927655,1,VDD_IN,5.0400,1.2480,6.2899
11149.929163,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
11149.930437,3,VDD_SOC,5.0400,0.3120,1.5725
11149.937728,1,VDD_IN,5.0400,1.2560,6.3302
11149.939148,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
11149.940517,3,VDD_SOC,5.0400,0.3120,1.5725
11149.947798,1,VDD_IN,5.0400,1.2560,6.3302
11149.949270,2,VDD_CPU_GPU_CV,5.0320,0.3280,1.6505
11149.950555,3,VDD_SOC,5.0400,0.3200,1.6128
11149.957868,1,VDD_IN,5.0400,1.2640,6.3706
11149.959344,2,VDD_CPU_GPU_CV,5.0320,0.3280,1.6505
11149.960635,3,VDD_SOC,5.0400,0.3200,1.6128
11149.967960,1,VDD_IN,5.0400,1.2720,6.4109
11149.969490,2,VDD_CPU_GPU_CV,5.0320,0.3360,1.6908
11149.970802,3,VDD_SOC,5.0400,0.3200,1.6128
11149.978033,1,VDD_IN,5.0400,1.2880,6.4915
11149.979608,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
11149.980917,3,VDD_SOC,5.0400,0.3200,1.6128
11149.988134,1,VDD_IN,5.0400,1.3120,6.6125
11149.989672,2,VDD_CPU_GPU_CV,5.0320,0.3520,1.7713
11149.990981,3,VDD_SOC,5.0400,0.3200,1.6128
11149.998202,1,VDD_IN,5.0400,1.3280,6.6931
11149.999618,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
11150.000995,3,VDD_SOC,5.0320,0.3280,1.6505
11150.008282,1,VDD_IN,5.0400,1.3520,6.8141
11150.009693,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
11150.011048,3,VDD_SOC,5.0320,0.3280,1.6505
11150.018354,1,VDD_IN,5.0400,1.3680,6.8947
11150.019786,2,VDD_CPU_GPU_CV,5.0320,0.3920,1.9725
11150.021093,3,VDD_SOC,5.0320,0.3280,1.6505
11150.028426,1,VDD_IN,5.0400,1.3840,6.9754
11150.029846,2,VDD_CPU_GPU_CV,5.0320,0.4080,2.0531
11150.031202,3,VDD_SOC,5.0320,0.3360,1.6908
11150.038497,1,VDD_IN,5.0400,1.4080,7.0963
11150.039944,2,VDD_CPU_GPU_CV,5.0320,0.4160,2.0933
11150.041218,3,VDD_SOC,5.0320,0.3360,1.6908
11150.048583,1,VDD_IN,5.0400,1.4160,7.1366
11150.050100,2,VDD_CPU_GPU_CV,5.0240,0.4240,2.1302
11150.051391,3,VDD_SOC,5.0320,0.3360,1.6908
11150.058653,1,VDD_IN,5.0400,1.4240,7.1770
11150.060135,2,VDD_CPU_GPU_CV,5.0240,0.4240,2.1302
11150.061407,3,VDD_SOC,5.0320,0.3360,1.6908
11150.068725,1,VDD_IN,5.0400,1.4240,7.1770
11150.070134,2,VDD_CPU_GPU_CV,5.0240,0.4320,2.1704
11150.071502,3,VDD_SOC,5.0320,0.3360,1.6908
11150.078813,1,VDD_IN,5.0400,1.4320,7.2173
11150.080387,2,VDD_CPU_GPU_CV,5.0240,0.4320,2.1704
11150.081673,3,VDD_SOC,5.0320,0.3440,1.7310
11150.088884,1,VDD_IN,5.0400,1.4400,7.2576
11150.090321,2,VDD_CPU_GPU_CV,5.0240,0.4320,2.1704
11150.091610,3,VDD_SOC,5.0320,0.3440,1.7310
11150.098972,1,VDD_IN,5.0400,1.4480,7.2979
11150.100493,2,VDD_CPU_GPU_CV,5.0240,0.4400,2.2106
11150.101788,3,VDD_SOC,5.0320,0.3440,1.7310
11150.109042,1,VDD_IN,5.0400,1.4560,7.3382
11150.110495,2,VDD_CPU_GPU_CV,5.0240,0.4480,2.2508
11150.111770,3,VDD_SOC,5.0320,0.3440,1.7310
11150.119112,1,VDD_IN,5.0400,1.4800,7.4592
11150.120524,2,VDD_CPU_GPU_CV,5.0240,0.4640,2.3311
11150.121882,3,VDD_SOC,5.0320,0.3440,1.7310
11150.129180,1,VDD_IN,5.0400,1.4960,7.5398
11150.130585,2,VDD_CPU_GPU_CV,5.0240,0.4720,2.3713
11150.131892,3,VDD_SOC,5.0320,0.3520,1.7713
11150.139251,1,VDD_IN,5.0320,1.5200,7.6486
11150.140657,2,VDD_CPU_GPU_CV,5.0240,0.4880,2.4517
11150.142030,3,VDD_SOC,5.0320,0.3520,1.7713
11150.149321,1,VDD_IN,5.0320,1.5360,7.7292
11150.150713,2,VDD_CPU_GPU_CV,5.0240,0.5040,2.5321
11150.152093,3,VDD_SOC,5.0320,0.3520,1.7713
11150.159391,1,VDD_IN,5.0320,1.5600,7.8499
11150.160812,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.162170,3,VDD_SOC,5.0320,0.3520,1.7713
11150.169463,1,VDD_IN,5.0320,1.5600,7.8499
11150.170900,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.172176,3,VDD_SOC,5.0320,0.3520,1.7713
11150.179549,1,VDD_IN,5.0320,1.5520,7.8097
11150.181212,2,VDD_CPU_GPU_CV,5.0240,0.5120,2.5723
11150.182585,3,VDD_SOC,5.0320,0.3520,1.7713
11150.189633,1,VDD_IN,5.0320,1.5440,7.7694
11150.191223,2,VDD_CPU_GPU_CV,5.0240,0.5040,2.5321
11150.192783,3,VDD_SOC,5.0320,0.3520,1.7713
11150.199698,1,VDD_IN,5.0320,1.5600,7.8499
11150.201265,2,VDD_CPU_GPU_CV,5.0240,0.5120,2.5723
11150.202716,3,VDD_SOC,5.0320,0.3520,1.7713
11150.209773,1,VDD_IN,5.0320,1.5600,7.8499
11150.211271,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.212583,3,VDD_SOC,5.0320,0.3600,1.8115
11150.219845,1,VDD_IN,5.0320,1.5680,7.8902
11150.221262,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.222569,3,VDD_SOC,5.0320,0.3600,1.8115
11150.229916,1,VDD_IN,5.0320,1.5760,7.9304
11150.231332,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
11150.232748,3,VDD_SOC,5.0320,0.3600,1.8115
11150.240050,1,VDD_IN,5.0320,1.5840,7.9707
11150.241555,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
11150.242868,3,VDD_SOC,5.0320,0.3600,1.8115
11150.250119,1,VDD_IN,5.0320,1.5840,7.9707
11150.251568,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
11150.252854,3,VDD_SOC,5.0320,0.3600,1.8115
11150.260210,1,VDD_IN,5.0320,1.5680,7.8902
11150.261819,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.263111,3,VDD_SOC,5.0320,0.3600,1.8115
11150.270306,1,VDD_IN,5.0320,1.5600,7.8499
11150.271931,2,VDD_CPU_GPU_CV,5.0240,0.5120,2.5723
11150.273281,3,VDD_SOC,5.0320,0.3600,1.8115
11150.280392,1,VDD_IN,5.0320,1.5680,7.8902
11150.282011,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.283330,3,VDD_SOC,5.0320,0.3600,1.8115
11150.290469,1,VDD_IN,5.0320,1.5760,7.9304
11150.292069,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
11150.293373,3,VDD_SOC,5.0320,0.3600,1.8115
11150.300542,1,VDD_IN,5.0320,1.5840,7.9707
