inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,8729.213848,8729.263933,0.050085,0.207122,6.8339,6.8642
1,8729.269006,8729.319078,0.050072,0.274870,6.8238,6.8238
2,8729.324144,8729.374217,0.050073,0.273631,6.7915,6.8238
3,8729.379291,8729.429372,0.050081,0.271723,6.7431,6.7431
4,8729.434445,8729.484532,0.050087,0.271879,6.7431,6.7431
5,8729.489612,8729.539689,0.050076,0.271782,6.7431,6.7431
6,8729.544763,8729.594838,0.050075,0.271584,6.7431,6.7431
7,8729.599908,8729.650004,0.050096,0.271571,6.7427,6.7431
8,8729.655090,8729.705183,0.050092,0.271595,6.7427,6.7431
9,8729.710300,8729.760375,0.050075,0.271756,6.7431,6.7431
