timestamp_s,channel,rail_name,voltage_v,current_a,power_w
8729.213801,1,VDD_IN,5.0480,0.9520,4.8057
8729.215173,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.216548,3,VDD_SOC,5.0480,0.2720,1.3731
8729.223968,1,VDD_IN,5.0480,0.9520,4.8057
8729.225369,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.226790,3,VDD_SOC,5.0480,0.2720,1.3731
8729.234148,1,VDD_IN,5.0480,0.9440,4.7653
8729.235545,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.236980,3,VDD_SOC,5.0480,0.2720,1.3731
8729.244221,1,VDD_IN,5.0480,0.9440,4.7653
8729.245694,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.247133,3,VDD_SOC,5.0480,0.2720,1.3731
8729.254291,1,VDD_IN,5.0480,0.9440,4.7653
8729.255756,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.257044,3,VDD_SOC,5.0480,0.2720,1.3731
8729.264353,1,VDD_IN,5.0480,0.9440,4.7653
8729.265684,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.267043,3,VDD_SOC,5.0480,0.2720,1.3731
8729.274422,1,VDD_IN,5.0480,0.9440,4.7653
8729.275847,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.277211,3,VDD_SOC,5.0480,0.2720,1.3731
8729.284492,1,VDD_IN,5.0480,0.9440,4.7653
8729.285902,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.287257,3,VDD_SOC,5.0480,0.2720,1.3731
8729.294561,1,VDD_IN,5.0480,0.9440,4.7653
8729.295971,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.297339,3,VDD_SOC,5.0480,0.2720,1.3731
8729.304632,1,VDD_IN,5.0480,0.9440,4.7653
8729.306093,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.307368,3,VDD_SOC,5.0480,0.2720,1.3731
8729.314703,1,VDD_IN,5.0480,0.9440,4.7653
8729.316116,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.317483,3,VDD_SOC,5.0480,0.2720,1.3731
8729.324770,1,VDD_IN,5.0480,0.9440,4.7653
8729.326183,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.327536,3,VDD_SOC,5.0480,0.2720,1.3731
8729.334838,1,VDD_IN,5.0480,0.9440,4.7653
8729.336257,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.337613,3,VDD_SOC,5.0480,0.2720,1.3731
8729.344911,1,VDD_IN,5.0480,0.9360,4.7249
8729.346335,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.347610,3,VDD_SOC,5.0480,0.2720,1.3731
8729.354980,1,VDD_IN,5.0480,0.9360,4.7249
8729.356429,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.357705,3,VDD_SOC,5.0480,0.2720,1.3731
8729.365048,1,VDD_IN,5.0480,0.9360,4.7249
8729.366472,2,VDD_CPU_GPU_CV,5.0400,0.1280,0.6451
8729.367826,3,VDD_SOC,5.0480,0.2720,1.3731
8729.375131,1,VDD_IN,5.0480,0.9360,4.7249
8729.376797,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
8729.378136,3,VDD_SOC,5.0480,0.2720,1.3731
8729.385198,1,VDD_IN,5.0480,0.9360,4.7249
8729.386657,2,VDD_CPU_GPU_CV,5.0400,0.1280,0.6451
8729.387957,3,VDD_SOC,5.0480,0.2720,1.3731
8729.395284,1,VDD_IN,5.0480,0.9360,4.7249
8729.396831,2,VDD_CPU_GPU_CV,5.0400,0.1280,0.6451
