inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,7541.560133,7541.694879,0.134746,1.745539,14.4425,14.9773
1,7541.744963,7541.878592,0.133629,1.783388,14.7533,15.1781
2,7541.928675,7542.064456,0.135781,1.939572,14.8179,15.2988
3,7542.114538,7542.250181,0.135643,1.799537,14.8950,15.2988
4,7542.300257,7542.435891,0.135634,1.969511,15.0386,15.4194
5,7542.485972,7542.623466,0.137493,1.789224,14.8012,14.9464
6,7542.673551,7542.807524,0.133973,1.802305,14.9086,15.4194
7,7542.857614,7542.992807,0.135193,1.968800,15.0393,15.4996
8,7543.042887,7543.179171,0.136284,1.808503,14.9610,15.3441
9,7543.229252,7543.364956,0.135704,1.960641,14.9778,15.4244
10,7543.415039,7543.551024,0.135984,1.807564,14.9605,15.4244
11,7543.601106,7543.736570,0.135464,1.974964,15.0870,15.5048
12,7543.786646,7543.924029,0.137383,1.796251,14.8569,14.9866
13,7543.974106,7544.108322,0.134215,1.964273,14.9931,15.4998
14,7544.158397,7544.293818,0.135421,1.823018,15.0856,15.5398
15,7544.343908,7544.480235,0.136328,1.811344,14.9874,15.4193
16,7544.530313,7544.665484,0.135170,1.973482,15.0754,15.5398
17,7544.715567,7544.849978,0.134411,1.857400,15.3636,15.8209
18,7544.900031,7545.036074,0.136043,1.992699,15.2185,15.5800
19,7545.086160,7545.224167,0.138006,1.802425,14.9063,15.0268
20,7545.274264,7545.408513,0.134249,1.965389,15.0067,15.5399
21,7545.458608,7545.595012,0.136405,1.839115,15.2153,15.6602
22,7545.645097,7545.780351,0.135253,1.978342,15.1151,15.5398
23,7545.830432,7545.965872,0.135440,1.822291,15.0852,15.4996
24,7546.015986,7546.149932,0.133946,1.854669,15.3393,15.7808
25,7546.200060,7546.336278,0.136218,1.991778,15.2132,15.5800
26,7546.386358,7546.523795,0.137437,1.801253,14.8980,15.0228
27,7546.573872,7546.708589,0.134716,1.963367,14.9890,15.4997
28,7546.758676,7546.895038,0.136362,1.808576,14.9685,15.3391
29,7546.945119,7547.080760,0.135642,1.945376,14.8566,15.2989
30,7547.130844,7547.266986,0.136142,1.801239,14.9091,15.3441
31,7547.317067,7547.451105,0.134038,1.837604,15.1961,15.6604
32,7547.501182,7547.637022,0.135840,1.982443,15.1366,15.5800
33,7547.687103,7547.824353,0.137250,1.796085,14.8569,14.9866
34,7547.874433,7548.008550,0.134117,1.961325,14.9719,15.4997
35,7548.058616,7548.193875,0.135259,1.819235,15.0400,15.4996
36,7548.243962,7548.378376,0.134414,1.809324,14.9724,15.4193
37,7548.428457,7548.564354,0.135897,1.963158,14.9932,15.4193
38,7548.614431,7548.748267,0.133836,1.847214,15.2851,15.7808
39,7548.798349,7548.935025,0.136676,1.984301,15.1619,15.5800
40,7548.985103,7549.120474,0.135371,1.810622,14.9871,15.4193
41,7549.170553,7549.306064,0.135511,1.808442,14.9572,15.3391
42,7549.356157,7549.492601,0.136445,1.952437,14.9127,15.3391
43,7549.542691,7549.676182,0.133491,1.820816,15.0670,15.4996
44,7549.726262,7549.861141,0.134879,1.961666,14.9813,15.4193
45,7549.911203,7550.045512,0.134309,1.811771,14.9911,15.4193
46,7550.095600,7550.231282,0.135682,1.809002,14.9634,15.4193
47,7550.281364,7550.416903,0.135539,1.953597,14.9306,15.3390
48,7550.467005,7550.602768,0.135763,1.795329,14.8552,15.2988
49,7550.652848,7550.788251,0.135403,1.945504,14.8585,15.2989
