timestamp_s,channel,rail_name,voltage_v,current_a,power_w
7540.772426,1,VDD_IN,5.0480,0.9440,4.7653
7540.773989,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
7540.775374,3,VDD_SOC,5.0400,0.2720,1.3709
7540.782603,1,VDD_IN,5.0480,0.9440,4.7653
7540.783968,2,VDD_CPU_GPU_CV,5.0400,0.1360,0.6854
7540.785416,3,VDD_SOC,5.0400,0.2720,1.3709
7540.792678,1,VDD_IN,5.0480,0.9520,4.8057
7540.794172,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
7540.795477,3,VDD_SOC,5.0400,0.2720,1.3709
7540.802886,1,VDD_IN,5.0480,0.9600,4.8461
7540.804381,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
7540.805835,3,VDD_SOC,5.0400,0.2800,1.4112
7540.812991,1,VDD_IN,5.0480,0.9760,4.9268
7540.814689,2,VDD_CPU_GPU_CV,5.0400,0.1600,0.8064
7540.816135,3,VDD_SOC,5.0400,0.2800,1.4112
7540.823061,1,VDD_IN,5.0480,0.9920,5.0076
7540.824571,2,VDD_CPU_GPU_CV,5.0400,0.1600,0.8064
7540.825998,3,VDD_SOC,5.0400,0.2800,1.4112
7540.833164,1,VDD_IN,5.0480,1.0080,5.0884
7540.834815,2,VDD_CPU_GPU_CV,5.0400,0.1760,0.8870
7540.836242,3,VDD_SOC,5.0400,0.2800,1.4112
7540.843238,1,VDD_IN,5.0480,1.0400,5.2499
7540.844711,2,VDD_CPU_GPU_CV,5.0400,0.1920,0.9677
7540.846015,3,VDD_SOC,5.0400,0.2880,1.4515
7540.853309,1,VDD_IN,5.0480,1.0640,5.3711
7540.854764,2,VDD_CPU_GPU_CV,5.0400,0.2160,1.0886
7540.856224,3,VDD_SOC,5.0400,0.2880,1.4515
7540.863406,1,VDD_IN,5.0480,1.0880,5.4922
7540.865101,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
7540.866390,3,VDD_SOC,5.0400,0.2960,1.4918
7540.873497,1,VDD_IN,5.0480,1.1120,5.6134
7540.874963,2,VDD_CPU_GPU_CV,5.0320,0.2400,1.2077
7540.876249,3,VDD_SOC,5.0400,0.2960,1.4918
7540.883568,1,VDD_IN,5.0400,1.1360,5.7254
7540.885005,2,VDD_CPU_GPU_CV,5.0320,0.2560,1.2882
7540.886301,3,VDD_SOC,5.0400,0.3040,1.5322
7540.893644,1,VDD_IN,5.0400,1.1600,5.8464
7540.895159,2,VDD_CPU_GPU_CV,5.0320,0.2720,1.3687
7540.896543,3,VDD_SOC,5.0400,0.3040,1.5322
7540.903723,1,VDD_IN,5.0400,1.1680,5.8867
7540.905183,2,VDD_CPU_GPU_CV,5.0320,0.2720,1.3687
7540.906465,3,VDD_SOC,5.0400,0.3040,1.5322
7540.913795,1,VDD_IN,5.0400,1.1760,5.9270
7540.915211,2,VDD_CPU_GPU_CV,5.0320,0.2800,1.4090
7540.916571,3,VDD_SOC,5.0400,0.3040,1.5322
7540.923867,1,VDD_IN,5.0400,1.1840,5.9674
7540.925300,2,VDD_CPU_GPU_CV,5.0320,0.2880,1.4492
7540.926656,3,VDD_SOC,5.0400,0.3040,1.5322
7540.933939,1,VDD_IN,5.0400,1.1920,6.0077
7540.935366,2,VDD_CPU_GPU_CV,5.0320,0.2880,1.4492
7540.936681,3,VDD_SOC,5.0400,0.3120,1.5725
7540.944033,1,VDD_IN,5.0400,1.2080,6.0883
7540.945514,2,VDD_CPU_GPU_CV,5.0320,0.2960,1.4895
7540.946786,3,VDD_SOC,5.0400,0.3120,1.5725
7540.954121,1,VDD_IN,5.0400,1.2080,6.0883
7540.955630,2,VDD_CPU_GPU_CV,5.0320,0.2960,1.4895
7540.956954,3,VDD_SOC,5.0400,0.3120,1.5725
7540.964193,1,VDD_IN,5.0400,1.2320,6.2093
7540.965608,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
7540.966972,3,VDD_SOC,5.0400,0.3120,1.5725
7540.974264,1,VDD_IN,5.0400,1.2480,6.2899
7540.975671,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
7540.977027,3,VDD_SOC,5.0400,0.3120,1.5725
7540.984333,1,VDD_IN,5.0400,1.2720,6.4109
7540.985742,2,VDD_CPU_GPU_CV,5.0320,0.3360,1.6908
7540.987097,3,VDD_SOC,5.0400,0.3200,1.6128
7540.994415,1,VDD_IN,5.0400,1.2960,6.5318
7540.995863,2,VDD_CPU_GPU_CV,5.0320,0.3520,1.7713
7540.997221,3,VDD_SOC,5.0320,0.3200,1.6102
7541.004498,1,VDD_IN,5.0400,1.3200,6.6528
7541.006062,2,VDD_CPU_GPU_CV,5.0320,0.3600,1.8115
7541.007358,3,VDD_SOC,5.0320,0.3200,1.6102
7541.014570,1,VDD_IN,5.0400,1.3360,6.7334
7541.015980,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
7541.017354,3,VDD_SOC,5.0320,0.3280,1.6505
7541.024649,1,VDD_IN,5.0400,1.3520,6.8141
7541.026074,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
7541.027458,3,VDD_SOC,5.0320,0.3280,1.6505
7541.034721,1,VDD_IN,5.0400,1.3600,6.8544
7541.036151,2,VDD_CPU_GPU_CV,5.0320,0.3920,1.9725
7541.037439,3,VDD_SOC,5.0320,0.3280,1.6505
7541.044794,1,VDD_IN,5.0400,1.3680,6.8947
7541.046205,2,VDD_CPU_GPU_CV,5.0320,0.3920,1.9725
7541.047557,3,VDD_SOC,5.0320,0.3280,1.6505
7541.054865,1,VDD_IN,5.0400,1.3760,6.9350
7541.056291,2,VDD_CPU_GPU_CV,5.0320,0.4000,2.0128
7541.057646,3,VDD_SOC,5.0320,0.3280,1.6505
7541.064951,1,VDD_IN,5.0400,1.3840,6.9754
7541.066531,2,VDD_CPU_GPU_CV,5.0320,0.4000,2.0128
7541.067882,3,VDD_SOC,5.0320,0.3360,1.6908
7541.075035,1,VDD_IN,5.0400,1.3920,7.0157
7541.076704,2,VDD_CPU_GPU_CV,5.0240,0.4080,2.0498
7541.078023,3,VDD_SOC,5.0320,0.3360,1.6908
7541.085124,1,VDD_IN,5.0400,1.4000,7.0560
7541.086838,2,VDD_CPU_GPU_CV,5.0240,0.4080,2.0498
7541.088394,3,VDD_SOC,5.0320,0.3360,1.6908
7541.095206,1,VDD_IN,5.0400,1.4160,7.1366
7541.096811,2,VDD_CPU_GPU_CV,5.0240,0.4240,2.1302
7541.098266,3,VDD_SOC,5.0320,0.3360,1.6908
7541.105285,1,VDD_IN,5.0400,1.4400,7.2576
7541.106899,2,VDD_CPU_GPU_CV,5.0240,0.4400,2.2106
7541.108445,3,VDD_SOC,5.0320,0.3440,1.7310
7541.115363,1,VDD_IN,5.0400,1.4640,7.3786
7541.116920,2,VDD_CPU_GPU_CV,5.0240,0.4560,2.2909
7541.118408,3,VDD_SOC,5.0320,0.3440,1.7310
7541.125443,1,VDD_IN,5.0320,1.4800,7.4474
7541.126962,2,VDD_CPU_GPU_CV,5.0240,0.4720,2.3713
7541.128467,3,VDD_SOC,5.0320,0.3440,1.7310
7541.135516,1,VDD_IN,5.0320,1.5040,7.5681
7541.136999,2,VDD_CPU_GPU_CV,5.0240,0.4800,2.4115
7541.138419,3,VDD_SOC,5.0320,0.3440,1.7310
7541.145587,1,VDD_IN,5.0320,1.5200,7.6486
7541.147097,2,VDD_CPU_GPU_CV,5.0240,0.4960,2.4919
7541.148529,3,VDD_SOC,5.0320,0.3520,1.7713
7541.155661,1,VDD_IN,5.0320,1.5360,7.7292
7541.157167,2,VDD_CPU_GPU_CV,5.0240,0.5040,2.5321
7541.158568,3,VDD_SOC,5.0320,0.3520,1.7713
7541.165736,1,VDD_IN,5.0320,1.5440,7.7694
7541.167228,2,VDD_CPU_GPU_CV,5.0240,0.5040,2.5321
7541.168670,3,VDD_SOC,5.0320,0.3520,1.7713
7541.175961,1,VDD_IN,5.0320,1.5520,7.8097
7541.177643,2,VDD_CPU_GPU_CV,5.0240,0.5120,2.5723
7541.179156,3,VDD_SOC,5.0320,0.3520,1.7713
7541.186036,1,VDD_IN,5.0320,1.5600,7.8499
7541.187471,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
7541.188779,3,VDD_SOC,5.0240,0.3520,1.7684
7541.196119,1,VDD_IN,5.0320,1.5680,7.8902
7541.197582,2,VDD_CPU_GPU_CV,5.0240,0.5200,2.6125
7541.198945,3,VDD_SOC,5.0240,0.3520,1.7684
7541.206190,1,VDD_IN,5.0320,1.5760,7.9304
7541.207609,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
7541.208971,3,VDD_SOC,5.0240,0.3520,1.7684
7541.216263,1,VDD_IN,5.0320,1.5840,7.9707
7541.217702,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
7541.219076,3,VDD_SOC,5.0240,0.3520,1.7684
7541.226336,1,VDD_IN,5.0320,1.5920,8.0109
7541.227750,2,VDD_CPU_GPU_CV,5.0240,0.5280,2.6527
7541.229114,3,VDD_SOC,5.0240,0.3600,1.8086
7541.236423,1,VDD_IN,5.0320,1.5920,8.0109
7541.237893,2,VDD_CPU_GPU_CV,5.0240,0.5360,2.6929
7541.239267,3,VDD_SOC,5.0240,0.3600,1.8086
7541.246493,1,VDD_IN,5.0320,1.6000,8.0512
7541.247933,2,VDD_CPU_GPU_CV,5.0240,0.5360,2.6929
7541.249222,3,VDD_SOC,5.0240,0.3600,1.8086
7541.256565,1,VDD_IN,5.0320,1.6080,8.0915
7541.257983,2,VDD_CPU_GPU_CV,5.0240,0.5440,2.7331
7541.259337,3,VDD_SOC,5.0240,0.3600,1.8086
7541.266637,1,VDD_IN,5.0320,1.6160,8.1317
7541.268050,2,VDD_CPU_GPU_CV,5.0240,0.5440,2.7331
7541.269403,3,VDD_SOC,5.0240,0.3600,1.8086
7541.276709,1,VDD_IN,5.0320,1.6160,8.1317
7541.278117,2,VDD_CPU_GPU_CV,5.0240,0.5440,2.7331
7541.279471,3,VDD_SOC,5.0240,0.3600,1.8086
7541.286781,1,VDD_IN,5.0320,1.6240,8.1720
7541.288199,2,VDD_CPU_GPU_CV,5.0240,0.5520,2.7732
7541.289528,3,VDD_SOC,5.0240,0.3600,1.8086
7541.296866,1,VDD_IN,5.0320,1.6320,8.2122
7541.298444,2,VDD_CPU_GPU_CV,5.0240,0.5600,2.8134
7541.299709,3,VDD_SOC,5.0240,0.3600,1.8086
7541.306937,1,VDD_IN,5.0320,1.6320,8.2122
7541.308363,2,VDD_CPU_GPU_CV,5.0240,0.5600,2.8134
7541.309721,3,VDD_SOC,5.0240,0.3600,1.8086
7541.317019,1,VDD_IN,5.0320,1.6400,8.2525
7541.318456,2,VDD_CPU_GPU_CV,5.0240,0.5600,2.8134
7541.319814,3,VDD_SOC,5.0240,0.3680,1.8488
7541.327092,1,VDD_IN,5.0320,1.6480,8.2927
7541.328508,2,VDD_CPU_GPU_CV,5.0240,0.5680,2.8536
7541.329864,3,VDD_SOC,5.0240,0.3680,1.8488
7541.337176,1,VDD_IN,5.0320,1.6480,8.2927
7541.338625,2,VDD_CPU_GPU_CV,5.0160,0.5680,2.8491
7541.339983,3,VDD_SOC,5.0240,0.3680,1.8488
7541.347246,1,VDD_IN,5.0320,1.6560,8.3330
7541.348698,2,VDD_CPU_GPU_CV,5.0160,0.5680,2.8491
7541.349996,3,VDD_SOC,5.0240,0.3680,1.8488
7541.357338,1,VDD_IN,5.0320,1.6560,8.3330
7541.358851,2,VDD_CPU_GPU_CV,5.0240,0.5760,2.8938
7541.360133,3,VDD_SOC,5.0240,0.3680,1.8488
7541.367409,1,VDD_IN,5.0320,1.6640,8.3732
7541.368879,2,VDD_CPU_GPU_CV,5.0160,0.5760,2.8892
7541.370154,3,VDD_SOC,5.0240,0.3680,1.8488
7541.377482,1,VDD_IN,5.0320,1.6720,8.4135
7541.378892,2,VDD_CPU_GPU_CV,5.0160,0.5760,2.8892
7541.380196,3,VDD_SOC,5.0240,0.3680,1.8488
7541.387572,1,VDD_IN,5.0320,1.6720,8.4135
7541.389224,2,VDD_CPU_GPU_CV,5.0160,0.5840,2.9293
7541.390524,3,VDD_SOC,5.0240,0.3680,1.8488
7541.397642,1,VDD_IN,5.0320,1.6720,8.4135
7541.399150,2,VDD_CPU_GPU_CV,5.0160,0.5840,2.9293
7541.400431,3,VDD_SOC,5.0240,0.3680,1.8488
7541.407714,1,VDD_IN,5.0320,1.6800,8.4538
