timestamp_s,channel,rail_name,voltage_v,current_a,power_w
15649.206278,1,VDD_IN,5.0480,0.9600,4.8461
15649.208538,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
15649.209819,3,VDD_SOC,5.0480,0.2720,1.3731
15649.216339,1,VDD_IN,5.0480,0.9600,4.8461
15649.217652,2,VDD_CPU_GPU_CV,5.0400,0.1440,0.7258
15649.218974,3,VDD_SOC,5.0480,0.2720,1.3731
15649.226410,1,VDD_IN,5.0480,0.9760,4.9268
15649.227778,2,VDD_CPU_GPU_CV,5.0400,0.1520,0.7661
15649.229203,3,VDD_SOC,5.0480,0.2800,1.4134
15649.236488,1,VDD_IN,5.0480,0.9920,5.0076
15649.238243,2,VDD_CPU_GPU_CV,5.0400,0.1680,0.8467
15649.239912,3,VDD_SOC,5.0480,0.2800,1.4134
15649.246580,1,VDD_IN,5.0480,1.0080,5.0884
15649.248055,2,VDD_CPU_GPU_CV,5.0400,0.1760,0.8870
15649.249449,3,VDD_SOC,5.0480,0.2800,1.4134
15649.256645,1,VDD_IN,5.0480,1.0160,5.1288
15649.257987,2,VDD_CPU_GPU_CV,5.0400,0.1840,0.9274
15649.259430,3,VDD_SOC,5.0400,0.2800,1.4112
15649.266732,1,VDD_IN,5.0480,1.0320,5.2095
15649.268236,2,VDD_CPU_GPU_CV,5.0400,0.1920,0.9677
15649.269658,3,VDD_SOC,5.0400,0.2800,1.4112
15649.276800,1,VDD_IN,5.0480,1.0400,5.2499
15649.278311,2,VDD_CPU_GPU_CV,5.0400,0.2000,1.0080
15649.279578,3,VDD_SOC,5.0400,0.2880,1.4515
15649.286896,1,VDD_IN,5.0480,1.0480,5.2903
15649.288438,2,VDD_CPU_GPU_CV,5.0400,0.2000,1.0080
15649.289735,3,VDD_SOC,5.0400,0.2880,1.4515
15649.296965,1,VDD_IN,5.0480,1.0640,5.3711
15649.298384,2,VDD_CPU_GPU_CV,5.0400,0.2080,1.0483
15649.299745,3,VDD_SOC,5.0400,0.2880,1.4515
15649.307036,1,VDD_IN,5.0480,1.0720,5.4115
15649.308461,2,VDD_CPU_GPU_CV,5.0400,0.2160,1.0886
15649.309840,3,VDD_SOC,5.0400,0.2880,1.4515
15649.317109,1,VDD_IN,5.0480,1.0800,5.4518
15649.318588,2,VDD_CPU_GPU_CV,5.0400,0.2240,1.1290
15649.319865,3,VDD_SOC,5.0400,0.2880,1.4515
15649.327201,1,VDD_IN,5.0480,1.0880,5.4922
15649.328732,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
15649.330025,3,VDD_SOC,5.0400,0.2880,1.4515
15649.337270,1,VDD_IN,5.0480,1.1040,5.5730
15649.338860,2,VDD_CPU_GPU_CV,5.0400,0.2320,1.1693
15649.340166,3,VDD_SOC,5.0400,0.2960,1.4918
15649.347341,1,VDD_IN,5.0480,1.1120,5.6134
15649.348838,2,VDD_CPU_GPU_CV,5.0400,0.2400,1.2096
15649.350119,3,VDD_SOC,5.0400,0.2960,1.4918
15649.357415,1,VDD_IN,5.0480,1.1200,5.6538
15649.358941,2,VDD_CPU_GPU_CV,5.0400,0.2480,1.2499
15649.360229,3,VDD_SOC,5.0400,0.2960,1.4918
15649.367487,1,VDD_IN,5.0480,1.1280,5.6941
15649.369028,2,VDD_CPU_GPU_CV,5.0400,0.2560,1.2902
15649.370324,3,VDD_SOC,5.0400,0.2960,1.4918
15649.377571,1,VDD_IN,5.0480,1.1360,5.7345
15649.379106,2,VDD_CPU_GPU_CV,5.0400,0.2560,1.2902
15649.380404,3,VDD_SOC,5.0400,0.2960,1.4918
15649.387640,1,VDD_IN,5.0480,1.1440,5.7749
15649.389070,2,VDD_CPU_GPU_CV,5.0400,0.2640,1.3306
15649.390431,3,VDD_SOC,5.0400,0.2960,1.4918
15649.397727,1,VDD_IN,5.0480,1.1520,5.8153
15649.399303,2,VDD_CPU_GPU_CV,5.0400,0.2720,1.3709
15649.400633,3,VDD_SOC,5.0400,0.2960,1.4918
15649.407796,1,VDD_IN,5.0480,1.1600,5.8557
15649.409226,2,VDD_CPU_GPU_CV,5.0400,0.2720,1.3709
15649.410586,3,VDD_SOC,5.0400,0.2960,1.4918
15649.417865,1,VDD_IN,5.0480,1.1680,5.8961
15649.419383,2,VDD_CPU_GPU_CV,5.0400,0.2800,1.4112
15649.420673,3,VDD_SOC,5.0400,0.3040,1.5322
15649.427948,1,VDD_IN,5.0480,1.1760,5.9364
15649.429454,2,VDD_CPU_GPU_CV,5.0400,0.2800,1.4112
15649.430745,3,VDD_SOC,5.0400,0.3040,1.5322
15649.438036,1,VDD_IN,5.0480,1.1840,5.9768
15649.439577,2,VDD_CPU_GPU_CV,5.0400,0.2880,1.4515
15649.440922,3,VDD_SOC,5.0400,0.3040,1.5322
15649.448105,1,VDD_IN,5.0480,1.1920,6.0172
15649.449608,2,VDD_CPU_GPU_CV,5.0320,0.2880,1.4492
15649.450904,3,VDD_SOC,5.0400,0.3040,1.5322
15649.458173,1,VDD_IN,5.0480,1.2000,6.0576
15649.459604,2,VDD_CPU_GPU_CV,5.0320,0.2960,1.4895
15649.460973,3,VDD_SOC,5.0400,0.3040,1.5322
15649.468242,1,VDD_IN,5.0480,1.2080,6.0980
15649.469667,2,VDD_CPU_GPU_CV,5.0320,0.3040,1.5297
15649.471027,3,VDD_SOC,5.0400,0.3040,1.5322
15649.478313,1,VDD_IN,5.0480,1.2080,6.0980
15649.479735,2,VDD_CPU_GPU_CV,5.0320,0.3040,1.5297
15649.481124,3,VDD_SOC,5.0400,0.3040,1.5322
15649.488383,1,VDD_IN,5.0480,1.2160,6.1384
15649.489816,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
15649.491109,3,VDD_SOC,5.0400,0.3040,1.5322
15649.498454,1,VDD_IN,5.0480,1.2240,6.1788
15649.499907,2,VDD_CPU_GPU_CV,5.0320,0.3120,1.5700
15649.501208,3,VDD_SOC,5.0400,0.3040,1.5322
15649.508525,1,VDD_IN,5.0480,1.2320,6.2191
15649.509997,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
15649.511278,3,VDD_SOC,5.0400,0.3120,1.5725
15649.518597,1,VDD_IN,5.0480,1.2320,6.2191
15649.520075,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
15649.521369,3,VDD_SOC,5.0400,0.3120,1.5725
15649.528668,1,VDD_IN,5.0480,1.2400,6.2595
15649.530107,2,VDD_CPU_GPU_CV,5.0320,0.3200,1.6102
15649.531415,3,VDD_SOC,5.0400,0.3120,1.5725
15649.538740,1,VDD_IN,5.0480,1.2480,6.2999
15649.540179,2,VDD_CPU_GPU_CV,5.0320,0.3280,1.6505
15649.541471,3,VDD_SOC,5.0400,0.3120,1.5725
15649.548812,1,VDD_IN,5.0480,1.2560,6.3403
15649.550225,2,VDD_CPU_GPU_CV,5.0320,0.3280,1.6505
15649.551583,3,VDD_SOC,5.0400,0.3120,1.5725
15649.558882,1,VDD_IN,5.0480,1.2560,6.3403
15649.560304,2,VDD_CPU_GPU_CV,5.0320,0.3360,1.6908
15649.561682,3,VDD_SOC,5.0400,0.3120,1.5725
15649.568953,1,VDD_IN,5.0480,1.2640,6.3807
15649.570378,2,VDD_CPU_GPU_CV,5.0320,0.3360,1.6908
15649.571737,3,VDD_SOC,5.0400,0.3120,1.5725
15649.579022,1,VDD_IN,5.0480,1.2720,6.4211
15649.580443,2,VDD_CPU_GPU_CV,5.0320,0.3360,1.6908
15649.581815,3,VDD_SOC,5.0400,0.3120,1.5725
15649.589104,1,VDD_IN,5.0400,1.2720,6.4109
15649.590578,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
15649.591941,3,VDD_SOC,5.0400,0.3120,1.5725
15649.599174,1,VDD_IN,5.0400,1.2800,6.4512
15649.600602,2,VDD_CPU_GPU_CV,5.0320,0.3440,1.7310
15649.601965,3,VDD_SOC,5.0400,0.3120,1.5725
15649.609245,1,VDD_IN,5.0400,1.2800,6.4512
15649.610658,2,VDD_CPU_GPU_CV,5.0320,0.3520,1.7713
15649.612064,3,VDD_SOC,5.0400,0.3120,1.5725
15649.619316,1,VDD_IN,5.0400,1.2880,6.4915
15649.620743,2,VDD_CPU_GPU_CV,5.0320,0.3520,1.7713
15649.622029,3,VDD_SOC,5.0400,0.3120,1.5725
15649.629385,1,VDD_IN,5.0400,1.2960,6.5318
15649.630802,2,VDD_CPU_GPU_CV,5.0320,0.3520,1.7713
15649.632185,3,VDD_SOC,5.0400,0.3200,1.6128
15649.639480,1,VDD_IN,5.0400,1.2960,6.5318
15649.641067,2,VDD_CPU_GPU_CV,5.0320,0.3600,1.8115
15649.642366,3,VDD_SOC,5.0400,0.3200,1.6128
15649.649548,1,VDD_IN,5.0400,1.3040,6.5722
15649.650965,2,VDD_CPU_GPU_CV,5.0320,0.3600,1.8115
15649.652257,3,VDD_SOC,5.0400,0.3200,1.6128
15649.659619,1,VDD_IN,5.0400,1.3040,6.5722
15649.661101,2,VDD_CPU_GPU_CV,5.0320,0.3600,1.8115
15649.662394,3,VDD_SOC,5.0400,0.3200,1.6128
15649.669694,1,VDD_IN,5.0400,1.3120,6.6125
15649.671154,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
15649.672460,3,VDD_SOC,5.0400,0.3200,1.6128
15649.679764,1,VDD_IN,5.0400,1.3120,6.6125
15649.681197,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
15649.682563,3,VDD_SOC,5.0400,0.3200,1.6128
15649.689862,1,VDD_IN,5.0400,1.3200,6.6528
15649.691289,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
15649.692569,3,VDD_SOC,5.0400,0.3200,1.6128
15649.699932,1,VDD_IN,5.0400,1.3200,6.6528
15649.701441,2,VDD_CPU_GPU_CV,5.0320,0.3680,1.8518
15649.702724,3,VDD_SOC,5.0400,0.3200,1.6128
15649.710072,1,VDD_IN,5.0400,1.3280,6.6931
15649.711604,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
15649.712895,3,VDD_SOC,5.0400,0.3200,1.6128
15649.720140,1,VDD_IN,5.0400,1.3280,6.6931
15649.721660,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
15649.722943,3,VDD_SOC,5.0400,0.3200,1.6128
15649.730212,1,VDD_IN,5.0400,1.3360,6.7334
15649.731666,2,VDD_CPU_GPU_CV,5.0320,0.3760,1.8920
15649.732945,3,VDD_SOC,5.0400,0.3200,1.6128
15649.740283,1,VDD_IN,5.0400,1.3360,6.7334
15649.741708,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
15649.743077,3,VDD_SOC,5.0400,0.3200,1.6128
15649.750355,1,VDD_IN,5.0400,1.3360,6.7334
15649.751837,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
15649.753123,3,VDD_SOC,5.0400,0.3200,1.6128
15649.760428,1,VDD_IN,5.0400,1.3440,6.7738
15649.762034,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
15649.763391,3,VDD_SOC,5.0400,0.3200,1.6128
15649.770505,1,VDD_IN,5.0400,1.3440,6.7738
15649.772050,2,VDD_CPU_GPU_CV,5.0320,0.3840,1.9323
15649.773349,3,VDD_SOC,5.0400,0.3200,1.6128
15649.780575,1,VDD_IN,5.0400,1.3520,6.8141
15649.782082,2,VDD_CPU_GPU_CV,5.0320,0.3920,1.9725
15649.783368,3,VDD_SOC,5.0400,0.3200,1.6128
15649.790647,1,VDD_IN,5.0400,1.3520,6.8141
15649.792178,2,VDD_CPU_GPU_CV,5.0320,0.3920,1.9725
