inference_index,start_time_s,end_time_s,duration_s,energy_j,avg_power_w,peak_power_w
0,15649.759377,15649.866102,0.106725,1.057495,10.4947,10.6412
1,15649.886216,15649.991953,0.105737,0.961197,10.5969,10.6815
2,15650.012052,15650.118533,0.106480,1.071265,10.6339,10.7621
3,15650.138632,15650.244886,0.106254,1.074758,10.6669,10.7621
4,15650.265009,15650.371640,0.106631,0.971469,10.7138,10.8024
5,15650.391743,15650.475854,0.084112,0.872550,10.8281,11.0013
6,15650.495959,15650.579162,0.083203,0.776977,11.0221,11.2027
7,15650.599270,15650.684142,0.084872,0.787228,11.1574,11.2833
8,15650.704255,15650.791310,0.087054,0.906032,11.2448,11.4006
9,15650.811466,15650.897523,0.086057,0.794048,11.2659,11.3628
10,15650.917619,15651.003187,0.085568,0.908170,11.2732,11.4030
11,15651.023280,15651.108982,0.085702,0.798723,11.3273,11.4431
12,15651.129080,15651.214561,0.085481,0.917515,11.3825,11.5209
13,15651.234735,15651.320854,0.086120,0.807215,11.4490,11.5494
14,15651.340967,15651.426377,0.085410,0.925343,11.4879,11.6340
15,15651.446479,15651.531733,0.085254,0.812848,11.5256,11.5897
16,15651.551829,15651.636870,0.085041,0.927243,11.5082,11.6300
17,15651.656967,15651.742351,0.085384,0.813666,11.5417,11.6340
18,15651.762443,15651.849947,0.087505,0.934452,11.5875,11.7507
19,15651.870057,15651.955487,0.085430,0.824273,11.6944,11.8353
20,15651.975575,15652.061405,0.085830,0.944833,11.7230,11.8353
21,15652.081493,15652.166810,0.085317,0.824835,11.6994,11.7508
22,15652.186897,15652.272077,0.085181,0.940403,11.6666,11.7668
23,15652.292165,15652.377392,0.085227,0.822247,11.6651,11.7548
24,15652.397486,15652.482602,0.085117,0.938738,11.6500,11.7145
25,15652.502693,15652.588109,0.085416,0.819060,11.6189,11.7145
26,15652.608204,15652.693571,0.085367,0.938568,11.6459,11.7265
27,15652.713658,15652.799261,0.085604,0.823553,11.6807,11.7668
28,15652.819364,15652.904876,0.085513,0.946179,11.7411,11.8839
29,15652.924967,15653.010475,0.085508,0.825490,11.7076,11.8031
30,15653.030567,15653.115945,0.085378,0.941112,11.6734,11.7629
31,15653.136052,15653.221299,0.085247,0.822289,11.6573,11.7226
32,15653.241415,15653.327236,0.085821,0.938475,11.6424,11.7265
33,15653.347332,15653.432950,0.085618,0.819984,11.6342,11.7222
34,15653.453048,15653.538532,0.085484,0.938223,11.6458,11.7667
35,15653.558621,15653.644048,0.085426,0.820766,11.6352,11.6861
36,15653.664134,15653.749630,0.085496,0.933527,11.5854,11.7263
37,15653.769726,15653.855208,0.085483,0.821368,11.6343,11.7628
38,15653.875296,15653.960836,0.085540,0.819112,11.6168,11.7224
39,15653.980928,15654.066204,0.085276,0.934016,11.5881,11.7224
40,15654.086294,15654.171837,0.085544,0.818053,11.5966,11.6419
41,15654.191929,15654.277984,0.086055,0.937825,11.6378,11.7909
42,15654.298077,15654.383935,0.085858,0.823044,11.6756,11.7626
43,15654.404034,15654.489606,0.085572,0.940877,11.6719,11.7628
44,15654.509702,15654.594604,0.084902,0.821336,11.6521,11.7225
45,15654.614717,15654.700106,0.085389,0.939514,11.6555,11.7629
46,15654.720195,15654.805475,0.085280,0.820944,11.6421,11.7631
47,15654.825584,15654.911415,0.085832,0.942316,11.6825,11.8033
48,15654.931506,15655.017295,0.085789,0.822752,11.6674,11.7228
49,15655.037386,15655.122369,0.084983,0.936270,11.6198,11.7228
